uniprot_id,gene_id,gene_name,length,location,original_locations
P00830,YJR121W,ATP2,511,Mitochondria,Mitochondrion; Mitochondrion inner membrane
P00854,Q0085,ATP6,259,Mitochondria,Mitochondrion inner membrane
P00890,YNR001C,CIT1,479,Mitochondria,Mitochondrion matrix
P00924,YGR254W,ENO1,437,Cytoplasm,Cytoplasm
P00925,YHR174W,ENO2,437,Cytoplasm,Cytoplasm
P00927,YER086W,ILV1,576,Mitochondria,Mitochondrion
P00950,YKL152C,GPM1,247,Mitochondria,Cytoplasm; Mitochondrion outer membrane; Mitochondrion intermembrane space
P00958,YGR264C,MES1,751,Cytoplasm,Cytoplasm
P01097,YDL181W,INH1,85,Mitochondria,Mitochondrion
P01119,YOR101W,RAS1,309,Membrane_Secretory,Cell membrane
P01120,YNL098C,RAS2,322,Membrane_Secretory,Cell membrane
P01123,YFL038C,YPT1,206,Membrane_Secretory,Endoplasmic reticulum membrane; Golgi apparatus membrane; Cytoplasm; Preautophagosomal structure membrane
P02293,YDR224C,HTB1,131,Nucleus,Nucleus; Chromosome
P02294,YBL002W,HTB2,131,Nucleus,Nucleus; Chromosome
P02309,YNL030W,HHF2,103,Nucleus,Nucleus; Chromosome
P02400,YDR382W,RPP2B,110,Cytoplasm,Cytoplasm
P02406,YGL103W,RPL28,149,Cytoplasm,Cytoplasm
P02557,YFL037W,TUB2,457,Cytoplasm,"Cytoplasm, cytoskeleton"
P02829,YPL240C,HSP82,709,Cytoplasm,Cytoplasm
P02992,YOR187W,TUF1,437,Mitochondria,Mitochondrion matrix
P02994,YBR118W,TEF2,458,Cytoplasm,"Cytoplasm; Cytoplasm, cytoskeleton"
P03069,YEL009C,GCN4,281,Nucleus,Nucleus
P03871,R0020C,REP1,373,Nucleus,Nucleus
P03873,Q0110,BI2,423,Mitochondria,Mitochondrion inner membrane
P03877,Q0060,AI3,415,Mitochondria,Mitochondrion; Membrane
P03878,Q0065,AI4,556,Mitochondria,Mitochondrion
P03879,Q0120,BI4,638,Mitochondria,Mitochondrion
P03965,YJR109C,CPA2,1118,Cytoplasm,Cytoplasm
P04037,YGL187C,COX4,155,Mitochondria,Mitochondrion inner membrane
P04039,YLR395C,COX8,78,Mitochondria,Mitochondrion inner membrane
P04050,YDL140C,RPO21,1733,Nucleus,Nucleus
P04051,YOR116C,RPO31,1460,Nucleus,Nucleus
P04147,YER165W,PAB1,577,Nucleus,Cytoplasm; Nucleus
P04386,YPL248C,GAL4,881,Nucleus,Nucleus
P04449,YGL031C,RPL24A,155,Cytoplasm,Cytoplasm
P04456,YOL127W,RPL25,142,Cytoplasm,Cytoplasm
P04710,YMR056C,AAC1,309,Mitochondria,Mitochondrion inner membrane
P04786,YOL006C,TOP1,769,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm"
P04802,YLL018C,DPS1,557,Cytoplasm,Cytoplasm
P04817,YEL063C,CAN1,590,Membrane_Secretory,Cell membrane; Endosome membrane
P04819,YDL164C,CDC9,755,Nucleus,Nucleus
P04821,YLR310C,CDC25,1589,Membrane_Secretory,Membrane
P04840,YNL055C,POR1,283,Mitochondria,Mitochondrion outer membrane
P04911,YDR225W,HTA1,132,Nucleus,Nucleus; Chromosome
P04912,YBL003C,HTA2,132,Nucleus,Nucleus; Chromosome
P05030,YGL008C,PMA1,918,Membrane_Secretory,Cell membrane
P05066,YOR386W,PHR1,565,Nucleus,Nucleus; Mitochondrion
P05150,YJL088W,ARG3,338,Cytoplasm,Cytoplasm
P05317,YLR340W,RPP0,312,Cytoplasm,Cytoplasm
P05318,YDL081C,RPP1A,106,Cytoplasm,Cytoplasm
P05319,YOL039W,RPP2A,106,Cytoplasm,Cytoplasm
P05374,YGR157W,CHO2,869,Membrane_Secretory,Endoplasmic reticulum membrane
P05375,YJR073C,OPI3,206,Mitochondria,Endoplasmic reticulum membrane; Mitochondrion membrane
P05453,YDR172W,SUP35,685,Cytoplasm,Cytoplasm
P05737,YGL076C,RPL7A,244,Cytoplasm,Cytoplasm
P05739,YLR448W,RPL6B,176,Cytoplasm,Cytoplasm
P05740,YKL180W,RPL17A,184,Cytoplasm,Cytoplasm
P05744,YPL143W,RPL33A,107,Cytoplasm,Cytoplasm
P05745,YMR194W,RPL36A,100,Cytoplasm,Cytoplasm
P05748,YLR029C,RPL15A,204,Cytoplasm,Cytoplasm
P05750,YNL178W,RPS3,240,Cytoplasm,Cytoplasm
P05755,YBR189W,RPS9B,195,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P05756,YDR064W,RPS13,151,Cytoplasm,Cytoplasm
P05759,YLR167W,RPS31,152,Cytoplasm,Cytoplasm
P06100,YDL165W,CDC36,191,Nucleus,Cytoplasm; Nucleus
P06101,YDR168W,CDC37,506,Cytoplasm,Cytoplasm
P06102,YIL038C,NOT3,836,Nucleus,Cytoplasm; Nucleus
P06103,YOR361C,PRT1,763,Cytoplasm,Cytoplasm
P06104,YGL058W,RAD6,172,Nucleus,Cytoplasm; Nucleus
P06105,YJL080C,SCP160,1222,Nucleus,Endoplasmic reticulum membrane; Nucleus membrane
P06106,YLR303W,MET17,444,Cytoplasm,Cytoplasm
P06115,YGR088W,CTT1,562,Cytoplasm,Cytoplasm
P06168,YLR355C,ILV5,395,Mitochondria,Mitochondrion
P06169,YLR044C,PDC1,563,Nucleus,Cytoplasm; Nucleus
P06197,YPR113W,PIS1,220,Mitochondria,Microsome membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Mitochondrion outer membrane
P06208,YNL104C,LEU4,619,Mitochondria,Mitochondrion
P06242,YDL108W,KIN28,306,Nucleus,Nucleus
P06244,YJL164C,TPK1,397,Nucleus,Cytoplasm; Nucleus
P06367,YCR031C,RPS14A,137,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P06634,YOR204W,DED1,604,Cytoplasm,Cytoplasm
P06700,YDL042C,SIR2,562,Nucleus,"Nucleus, nucleolus"
P06701,YLR442C,SIR3,978,Nucleus,Nucleus
P06704,YOR257W,CDC31,161,Other,"Nucleus envelope; Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body"
P06738,YPR160W,GPH1,902,Cytoplasm,"Cytoplasm, cytosol"
P06774,YGL237C,HAP2,265,Nucleus,Nucleus
P06777,YPL022W,RAD1,1100,Nucleus,Nucleus
P06778,YML032C,RAD52,471,Nucleus,Nucleus
P06780,YPR165W,RHO1,209,Membrane_Secretory,Cell membrane; Endosome membrane; Peroxisome membrane
P06781,YNL090W,RHO2,192,Membrane_Secretory,Cell membrane
P06782,YDR477W,SNF1,633,Nucleus,Cytoplasm; Nucleus; Nucleus membrane
P06785,YOR074C,CDC21,304,Nucleus,Nucleus
P06786,YNL088W,TOP2,1428,Nucleus,Nucleus
P06787,YBR109C,CMD1,147,Other,"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body"
P06838,YML095C,RAD10,210,Nucleus,Nucleus
P06839,YER171W,RAD3,778,Nucleus,Nucleus
P06843,YER161C,SPT2,333,Nucleus,Nucleus
P06844,YDR392W,SPT3,337,Nucleus,Nucleus; Cytoplasm
P07143,YOR065W,CYT1,309,Mitochondria,Mitochondrion inner membrane
P07170,YDR226W,ADK1,222,Mitochondria,"Cytoplasm, cytosol; Mitochondrion intermembrane space"
P07213,YNL121C,TOM70,617,Mitochondria,Mitochondrion outer membrane
P07244,YGL234W,ADE57,802,Cytoplasm,Cytoplasm
P07245,YGR204W,ADE3,946,Nucleus,Cytoplasm; Nucleus
P07246,YMR083W,ADH3,375,Mitochondria,Mitochondrion matrix; Mitochondrion inner membrane
P07248,YDR216W,ADR1,1323,Nucleus,Nucleus
P07249,YMR042W,ARG80,177,Nucleus,Nucleus
P07250,YDR173C,ARG82,355,Nucleus,Nucleus
P07251,YBL099W,ATP1,545,Mitochondria,Mitochondrion inner membrane
P07255,YDL067C,COX9,59,Mitochondria,Mitochondrion inner membrane
P07256,YBL045C,COR1,457,Mitochondria,Mitochondrion inner membrane
P07257,YPR191W,QCR2,368,Mitochondria,Mitochondrion inner membrane
P07258,YOR303W,CPA1,411,Cytoplasm,Cytoplasm
P07259,YJL130C,URA2,2214,Cytoplasm,Cytoplasm
P07260,YOL139C,CDC33,213,Nucleus,Cytoplasm; Nucleus
P07261,YPL075W,GCR1,785,Nucleus,Nucleus
P07263,YPR033C,HTS1,546,Mitochondria,Mitochondrion
P07267,YPL154C,PEP4,405,Membrane_Secretory,Vacuole
P07269,YDL106C,PHO2,559,Nucleus,Nucleus
P07270,YFR034C,PHO4,312,Nucleus,Cytoplasm; Nucleus
P07271,YML061C,PIF1,859,Mitochondria,Mitochondrion inner membrane
P07272,YLR014C,PPR1,904,Nucleus,Nucleus
P07273,YGL043W,DST1,309,Nucleus,Nucleus
P07274,YOR122C,PFY1,126,Membrane_Secretory,"Cell membrane; Cytoplasm, cytosol"
P07276,YGR258C,RAD2,1031,Nucleus,Nucleus
P07277,YMR208W,ERG12,443,Cytoplasm,"Cytoplasm, cytosol"
P07278,YIL033C,BCY1,416,Nucleus,Cytoplasm; Nucleus
P07280,YOL121C,RPS19A,144,Cytoplasm,Cytoplasm
P07281,YNL302C,RPS19B,144,Cytoplasm,Cytoplasm
P07283,YFL045C,SEC53,254,Cytoplasm,Cytoplasm
P07284,YDR023W,SES1,462,Cytoplasm,"Cytoplasm, cytosol"
P07286,YBR243C,ALG7,448,Membrane_Secretory,Endoplasmic reticulum membrane
P07342,YMR108W,ILV2,687,Mitochondria,Mitochondrion
P07347,YHR013C,ARD1,238,Cytoplasm,Cytoplasm
P07560,YFL005W,SEC4,215,Membrane_Secretory,"Cytoplasmic vesicle, secretory vesicle membrane; Cell membrane; Cytoplasm"
P07703,YPR110C,RPC40,335,Nucleus,"Nucleus, nucleolus"
P07834,YFL009W,CDC4,779,Nucleus,Nucleus
P07866,YAL024C,LTE1,1435,Cytoplasm,Cytoplasm; Bud
P07884,YOR274W,MOD5,428,Nucleus,Cytoplasm; Nucleus
P07991,YLR438W,CAR2,424,Cytoplasm,Cytoplasm
P08004,YNL192W,CHS1,1131,Membrane_Secretory,Cell membrane
P08018,YJL128C,PBS2,668,Cytoplasm,Cytoplasm
P08067,YEL024W,RIP1,215,Mitochondria,Mitochondrion inner membrane
P08153,YDR146C,SWI5,709,Nucleus,Nucleus; Cytoplasm
P08417,YPL262W,FUM1,488,Nucleus,Mitochondrion matrix; Cytoplasm; Nucleus
P08425,YPR047W,MSF1,469,Mitochondria,Mitochondrion matrix
P08432,YKL184W,SPE1,466,Cytoplasm,Cytoplasm
P08456,YER026C,CHO1,276,Mitochondria,Microsome membrane; Endoplasmic reticulum membrane; Mitochondrion outer membrane
P08458,YDR523C,SPS1,490,Nucleus,Nucleus; Cytoplasm
P08466,YJL208C,NUC1,329,Mitochondria,Mitochondrion inner membrane
P08518,YOR151C,RPB2,1224,Nucleus,Nucleus
P08525,YJL166W,QCR8,94,Mitochondria,Mitochondrion inner membrane
P08536,YJR010W,MET3,511,Cytoplasm,Cytoplasm
P08539,YHR005C,GPA1,472,Membrane_Secretory,Cell membrane; Endosome membrane
P08566,YDR127W,ARO1,1588,Cytoplasm,Cytoplasm
P08638,YLR451W,LEU3,886,Nucleus,Nucleus
P08640,YIR019C,FLO11,1367,Membrane_Secretory,"Secreted, cell wall; Membrane"
P08679,YCR005C,CIT2,460,Membrane_Secretory,Cytoplasm; Peroxisome
P09032,YOR260W,GCD1,578,Cytoplasm,"Cytoplasm, cytosol"
P09064,YPL237W,SUI3,285,Cytoplasm,"Cytoplasm, cytosol"
P09119,YJL194W,CDC6,513,Nucleus,Nucleus; Chromosome
P09232,YEL060C,PRB1,635,Membrane_Secretory,Vacuole
P09435,YBL075C,SSA3,649,Cytoplasm,Cytoplasm
P09440,YBR084W,MIS1,975,Mitochondria,Mitochondrion
P09547,YPL016W,SWI1,1314,Nucleus,Nucleus
P09620,YGL203C,KEX1,729,Other,"Golgi apparatus, trans-Golgi network membrane"
P09624,YFL018C,LPD1,499,Mitochondria,Mitochondrion matrix
P09733,YML085C,TUB1,447,Cytoplasm,"Cytoplasm, cytoskeleton"
P09734,YML124C,TUB3,445,Cytoplasm,"Cytoplasm, cytoskeleton"
P09798,YKL022C,CDC16,840,Nucleus,Nucleus
P09938,YJL026W,RNR2,399,Nucleus,Nucleus
P09950,YDR232W,HEM1,548,Mitochondria,Mitochondrion matrix
P09959,YLR182W,SWI6,803,Nucleus,Nucleus; Cytoplasm
P0C0T4,YLR333C,RPS25B,108,Cytoplasm,Cytoplasm
P0C0V8,YKR057W,RPS21A,87,Cytoplasm,Cytoplasm
P0C0W9,YPR102C,RPL11A,174,Nucleus,Cytoplasm; Nucleus
P0C0X0,YLR264W,RPS28B,67,Cytoplasm,Cytoplasm
P0C2I2,YDR316W-B,TY1B-DR5,1755,Nucleus,Cytoplasm; Nucleus
P0C2I3,YDR365W-B,TY1B-DR6,1755,Nucleus,Cytoplasm; Nucleus
P0C2I5,YLR157C-B,TY1B-LR2,1755,Nucleus,Cytoplasm; Nucleus
P0C2I6,YLR227W-B,TY1B-LR3,1755,Nucleus,Cytoplasm; Nucleus
P0C2I9,YPR137C-B,TY1B-PR1,1755,Nucleus,Cytoplasm; Nucleus
P0C2J0,YPR158W-B,TY1B-PR2,1756,Nucleus,Cytoplasm; Nucleus
P0C2J1,YPR158C-D,TY1B-PR3,1755,Nucleus,Cytoplasm; Nucleus
P0C2J3,YLR410W-B,TY2B-LR1,1770,Nucleus,Cytoplasm; Nucleus
P0C2J7,YHL009W-B,TY4B-H,1802,Nucleus,Cytoplasm; Nucleus
P0C5R9,YPR170W-B,,85,Membrane_Secretory,Endoplasmic reticulum membrane; Vacuole membrane
P0CD91,YPR192W,AQY1,305,Membrane_Secretory,Endoplasmic reticulum membrane; Cell membrane
P0CE41,YLR256W,HAP1,1502,Nucleus,Nucleus
P0CG63,YLL039C,UBI4,381,Nucleus,Cytoplasm; Nucleus
P0CH08,YIL148W,RPL40A,128,Cytoplasm,Cytoplasm
P0CH09,YKR094C,RPL40B,128,Cytoplasm,Cytoplasm
P0CS90,YJR045C,SSC1,654,Mitochondria,Mitochondrion matrix
P0CT04,YNL015W,PBI2,75,Cytoplasm,Cytoplasm
P0CX25,YPR043W,RPL43A,92,Cytoplasm,Cytoplasm
P0CX27,YNL162W,RPL42A,106,Cytoplasm,Cytoplasm
P0CX28,YHR141C,RPL42B,106,Cytoplasm,Cytoplasm
P0CX29,YGR118W,RPS23A,145,Cytoplasm,Cytoplasm
P0CX30,YPR132W,RPS23B,145,Cytoplasm,Cytoplasm
P0CX31,YER074W,RPS24A,135,Cytoplasm,Cytoplasm
P0CX32,YIL069C,RPS24B,135,Cytoplasm,Cytoplasm
P0CX35,YJR145C,RPS4A,261,Cytoplasm,Cytoplasm
P0CX36,YHR203C,RPS4B,261,Cytoplasm,Cytoplasm
P0CX37,YPL090C,RPS6A,236,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P0CX38,YBR181C,RPS6B,236,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P0CX41,YBL087C,RPL23A,137,Cytoplasm,Cytoplasm
P0CX42,YER117W,RPL23B,137,Cytoplasm,Cytoplasm
P0CX43,YPL220W,RPL1A,217,Cytoplasm,Cytoplasm
P0CX44,YGL135W,RPL1B,217,Cytoplasm,Cytoplasm
P0CX45,YFR031C-A,RPL2A,254,Cytoplasm,Cytoplasm
P0CX46,YIL018W,RPL2B,254,Cytoplasm,Cytoplasm
P0CX47,YDR025W,RPS11A,156,Cytoplasm,Cytoplasm
P0CX48,YBR048W,RPS11B,156,Cytoplasm,Cytoplasm
P0CX49,YOL120C,RPL18A,186,Cytoplasm,Cytoplasm
P0CX50,YNL301C,RPL18B,186,Cytoplasm,Cytoplasm
P0CX51,YMR143W,RPS16A,143,Cytoplasm,Cytoplasm
P0CX53,YEL054C,RPL12A,165,Cytoplasm,Cytoplasm
P0CX54,YDR418W,RPL12B,165,Cytoplasm,Cytoplasm
P0CX55,YDR450W,RPS18A,146,Cytoplasm,Cytoplasm
P0CX56,YML026C,RPS18B,146,Cytoplasm,Cytoplasm
P0CX63,YFL002W-A,TY2B-F,1770,Nucleus,Cytoplasm; Nucleus
P0CX64,YGR161W-B,TY2B-GR2,1770,Nucleus,Cytoplasm; Nucleus
P0CX77,YLR157C,ASP3-2,362,Membrane_Secretory,Secreted; Periplasm
P0CX78,YLR158C,ASP3-3,362,Membrane_Secretory,Secreted; Periplasm
P0CX79,YLR160C,ASP3-4,362,Membrane_Secretory,Secreted; Periplasm
P0CX82,YBR084C-A,RPL19A,189,Cytoplasm,Cytoplasm
P0CX83,YBL027W,RPL19B,189,Cytoplasm,Cytoplasm
P0CX84,YDL191W,RPL35A,120,Cytoplasm,Cytoplasm
P0CX85,YDL136W,RPL35B,120,Cytoplasm,Cytoplasm
P0CY06,YCR040W,MATALPHA1,175,Nucleus,Nucleus
P0CY08,YCR039C,MATALPHA2,210,Nucleus,Nucleus
P0CZ17,YLR155C,ASP3-1,362,Membrane_Secretory,Secreted; Periplasm
P10080,YHL034C,SBP1,294,Nucleus,"Cytoplasm; Nucleus, nucleolus; Cytoplasm, P-body; Cytoplasm, Stress granule"
P10081,YJL138C,TIF2,395,Cytoplasm,Cytoplasm
P10127,YGL256W,ADH4,382,Mitochondria,Mitochondrion
P10174,YMR256C,COX7,60,Mitochondria,Mitochondrion inner membrane
P10507,YLR163C,MAS1,462,Mitochondria,Mitochondrion matrix
P10591,YAL005C,SSA1,642,Membrane_Secretory,"Cytoplasm; Secreted, cell wall"
P10592,YLL024C,SSA2,639,Membrane_Secretory,"Cytoplasm; Secreted, cell wall"
P10614,YHR007C,ERG11,530,Membrane_Secretory,Endoplasmic reticulum membrane
P10622,YDL130W,RPP1B,106,Cytoplasm,Cytoplasm
P10662,YDR347W,MRP1,321,Mitochondria,Mitochondrion
P10664,YBR031W,RPL4A,362,Nucleus,Cytoplasm; Nucleus
P10823,YER020W,GPA2,449,Membrane_Secretory,Cell membrane
P10862,YCR066W,RAD18,487,Nucleus,Nucleus
P10863,YER011W,TIR1,254,Membrane_Secretory,"Secreted, cell wall; Membrane"
P10870,YDL194W,SNF3,884,Membrane_Secretory,Cell membrane
P10961,YGL073W,HSF1,833,Nucleus,Nucleus
P10962,YAL025C,MAK16,306,Nucleus,Nucleus
P10964,YOR341W,RPA190,1664,Nucleus,"Nucleus, nucleolus"
P11075,YDR170C,SEC7,2009,Membrane_Secretory,"Cytoplasm; Golgi apparatus; Golgi apparatus, trans-Golgi network; Cytoplasmic vesicle, COPI-coated vesicle membrane; Cytoplasmic vesicle, COPII-coated vesicle membrane"
P11076,YDL192W,ARF1,181,Membrane_Secretory,Golgi apparatus
P11154,YGL062W,PYC1,1178,Cytoplasm,Cytoplasm
P11325,YLR382C,NAM2,894,Mitochondria,Mitochondrion matrix
P11353,YDR044W,HEM13,328,Cytoplasm,Cytoplasm
P11484,YDL229W,SSB1,613,Cytoplasm,Cytoplasm
P11491,YDR481C,PHO8,566,Cytoplasm,Cytoplasm
P11632,YPR052C,NHP6A,93,Nucleus,Nucleus; Chromosome
P11633,YBR089C-A,NHP6B,99,Nucleus,Nucleus; Chromosome
P11655,YNR026C,SEC12,471,Membrane_Secretory,"Endoplasmic reticulum membrane; Golgi apparatus, cis-Golgi network membrane"
P11709,YCL029C,BIK1,440,Cytoplasm,"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body; Cytoplasm, cytoskeleton, spindle; Cytoplasm"
P11710,YCL027W,FUS1,512,Membrane_Secretory,Membrane
P11745,YMR235C,RNA1,407,Cytoplasm,Cytoplasm
P11746,YMR043W,MCM1,286,Nucleus,Nucleus
P11747,YML098W,TAF13,167,Nucleus,Nucleus
P11914,YHR024C,MAS2,482,Mitochondria,Mitochondrion matrix
P11938,YNL216W,RAP1,827,Nucleus,"Nucleus; Chromosome, telomere"
P11978,YDR227W,SIR4,1358,Nucleus,Nucleus
P11986,YJL153C,INO1,533,Cytoplasm,Cytoplasm
P12383,YGL013C,PDR1,1068,Nucleus,Nucleus
P12385,YBR143C,SUP45,437,Cytoplasm,Cytoplasm
P12612,YDR212W,TCP1,559,Cytoplasm,Cytoplasm
P12630,YIL015W,BAR1,587,Membrane_Secretory,Secreted
P12683,YML075C,HMG1,1054,Membrane_Secretory,Endoplasmic reticulum membrane; Nucleus envelope
P12684,YLR450W,HMG2,1045,Membrane_Secretory,Endoplasmic reticulum membrane; Nucleus envelope
P12686,YGR084C,MRP13,339,Mitochondria,Mitochondrion
P12687,YNL005C,MRP7,371,Mitochondria,Mitochondrion
P12688,YKL126W,YPK1,680,Membrane_Secretory,Cytoplasm; Cell membrane
P12689,YOR346W,REV1,985,Nucleus,"Nucleus; Mitochondrion; Cytoplasm, cytosol"
P12695,YNL071W,LAT1,482,Mitochondria,Mitochondrion matrix
P12709,YBR196C,PGI1,554,Cytoplasm,"Cytoplasm, cytosol"
P12753,YNL250W,RAD50,1312,Nucleus,Nucleus; Chromosome
P12754,YGR083C,GCD2,651,Cytoplasm,"Cytoplasm, cytosol"
P12866,YKL209C,STE6,1290,Membrane_Secretory,Membrane
P12868,YMR231W,PEP5,1029,Membrane_Secretory,Vacuole membrane
P12904,YGL115W,SNF4,322,Nucleus,Nucleus; Cytoplasm
P12945,YDL040C,NAT1,854,Cytoplasm,Cytoplasm
P12954,YJL092W,SRS2,1174,Nucleus,Nucleus
P12962,YOR276W,CAF20,161,Cytoplasm,Cytoplasm
P13134,YNL238W,KEX2,814,Other,"Golgi apparatus, trans-Golgi network membrane"
P13185,YDR122W,KIN1,1064,Membrane_Secretory,Cytoplasm; Cell membrane
P13186,YLR096W,KIN2,1147,Membrane_Secretory,Cytoplasm; Cell membrane
P13259,YGR202C,PCT1,424,Membrane_Secretory,Membrane
P13382,YNL102W,POL1,1468,Nucleus,Nucleus
P13393,YER148W,SPT15,240,Nucleus,Nucleus
P13434,YBL021C,HAP3,144,Nucleus,Nucleus
P13517,YIL034C,CAP2,287,Cytoplasm,"Cytoplasm, cytoskeleton, actin patch; Bud; Bud tip; Cytoplasm, cytoskeleton"
P13574,YHR084W,STE12,688,Nucleus,Nucleus
P13586,YGL167C,PMR1,950,Membrane_Secretory,Golgi apparatus membrane
P13587,YDR040C,ENA1,1091,Membrane_Secretory,Cell membrane
P13663,YDR158W,HOM2,365,Nucleus,"Cytoplasm, cytosol; Nucleus"
P13712,YBR195C,MSI1,422,Nucleus,Cytoplasm; Nucleus
P13856,YGR152C,RSR1,272,Membrane_Secretory,Cell membrane
P14020,YPR183W,DPM1,267,Membrane_Secretory,Endoplasmic reticulum membrane
P14064,YKL109W,HAP4,554,Nucleus,Nucleus
P14065,YOR120W,GCY1,312,Cytoplasm,Cytoplasm
P14120,YGL030W,RPL30,105,Cytoplasm,Cytoplasm
P14126,YOR063W,RPL3,387,Cytoplasm,Cytoplasm
P14164,YKL112W,ABF1,731,Nucleus,Nucleus
P14180,YBR038W,CHS2,963,Membrane_Secretory,Membrane
P14242,YNL082W,PMS1,873,Nucleus,Nucleus
P14284,YPL167C,REV3,1504,Nucleus,Mitochondrion; Nucleus
P14291,YLR263W,RED1,827,Nucleus,Nucleus
P14306,YLR178C,TFS1,219,Cytoplasm,Cytoplasm
P14680,YJL141C,YAK1,807,Nucleus,Cytoplasm; Nucleus
P14681,YGR040W,KSS1,368,Nucleus,Nucleus; Cytoplasm; Periplasm
P14682,YDR054C,CDC34,295,Nucleus,Cytoplasm; Nucleus
P14693,YHR083W,SAM35,329,Mitochondria,Mitochondrion outer membrane
P14724,YFR036W,CDC26,124,Nucleus,Nucleus
P14736,YER162C,RAD4,754,Nucleus,Cytoplasm; Nucleus
P14737,YDR217C,RAD9,1309,Nucleus,Nucleus
P14741,YKR026C,GCN3,305,Cytoplasm,"Cytoplasm, cytosol"
P14743,YLR195C,NMT1,455,Cytoplasm,Cytoplasm
P14772,YLL015W,BPT1,1559,Membrane_Secretory,Vacuole membrane
P14832,YDR155C,CPR1,162,Nucleus,Cytoplasm; Nucleus; Mitochondrion intermembrane space
P14843,YDR035W,ARO3,370,Cytoplasm,Cytoplasm
P14904,YKL103C,APE1,514,Membrane_Secretory,Vacuole
P14906,YOR254C,SEC63,663,Nucleus,Endoplasmic reticulum membrane; Nucleus membrane; Nucleus inner membrane
P14907,YJL041W,NSP1,823,Nucleus,"Nucleus, nuclear pore complex; Nucleus membrane; Nucleus membrane"
P14908,YMR228W,MTF1,341,Mitochondria,Mitochondrion intermembrane space
P14922,YBR112C,CYC8,966,Nucleus,Nucleus
P15108,YMR186W,HSC82,705,Mitochondria,Cytoplasm; Mitochondrion
P15180,YDR037W,KRS1,591,Cytoplasm,Cytoplasm
P15202,YDR256C,CTA1,515,Other,Peroxisome matrix
P15303,YPR181C,SEC23,768,Membrane_Secretory,"Cytoplasmic vesicle, COPII-coated vesicle membrane; Cytoplasm; Endoplasmic reticulum membrane; Golgi apparatus membrane"
