# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-p" "-a" "genes.gtf" "-o" "ns024.12.counts.txt" "./bam/A1.bam" "./bam/A2.bam" "./bam/B1.bam" "./bam/B2.bam" 
Geneid	Chr	Start	End	Strand	Length	./bam/A1.bam	./bam/A2.bam	./bam/B1.bam	./bam/B2.bam
YAL002W	I	143707	147531	+	3825	713	687	906	1472
YAL001C	I;I	147594;151097	151006;151166	-;-	3483	1107	1037	1331	1939
YAR002W	I	152257	153876	+	1620	2193	1723	2575	3801
YAR002C-A	I	154065	154724	-	660	2466	2277	3110	4775
YAR003W	I	155005	156285	+	1281	1054	1027	1252	1855
YAR007C	I	156754	158619	-	1866	2068	2093	2380	4078
YAR008W	I	158966	159793	+	828	626	464	674	824
YAR009C	I	160597	164187	-	3591	2163	2368	2379	3800
YAR010C	I	164544	165866	-	1323	3	3	9	10
tA(UGC)A	I	166267	166339	+	73	3	3	7	12
YAR014C	I	166742	168871	-	2130	2649	2140	3144	4415
YAR015W	I	169375	170295	+	921	11777	4980	12650	10844
YAR018C	I	170396	171703	-	1308	737	893	838	1649
YAR019C	I	172211	175135	-	2925	334	386	482	826
YAR019W-A	I	174998	175330	+	333	13	19	20	40
YAR020C	I	176856	177023	-	168	137	144	132	249
YAR023C	I	179281	179820	-	540	111	135	175	249
tL(CAA)A	I;I	181141;181211	181178;181254	+;+	82	4	2	2	5
tS(AGA)A	I	182522	182603	-	82	0	0	1	1
YAR027W	I	183770	184477	+	708	884	1071	1059	1968
YAR028W	I	184892	185596	+	705	358	284	375	453
YAR029W	I	186321	186545	+	225	97	79	109	118
YAR030C	I	186512	186853	-	342	33	32	35	42
YAR031W	I	186836	187732	+	897	196	146	194	299
YAR033W	I	188107	188811	+	705	304	176	331	410
YAR035W	I	190193	192256	+	2064	185	223	232	494
YAR035C-A	I	192337	192417	-	81	2	3	3	4
YAR042W	I	192619	196185	+	3567	2050	2060	2260	4363
YAR047C	I	201467	201787	-	321	0	0	0	0
YAR050W	I	203403	208016	+	4614	80	78	133	142
YAR053W	I	208367	208663	+	297	6	4	18	21
YAR060C	I	217157	217492	-	336	0	0	0	0
YAR061W	I	218140	218343	+	204	0	0	0	0
YAR062W	I	218549	219145	+	597	0	0	2	1
YAR064W	I	220198	220497	+	300	27	22	25	31
YAR066W	I	221049	221660	+	612	18	22	20	18
YAR068W	I	222406	222891	+	486	50	40	52	85
YAR069C	I	224011	224304	-	294	3	7	1	12
YAR070C	I	224563	224862	-	300	1	0	1	10
YAR071W	I	225460	226863	+	1404	128	73	211	189
YAR073W	I	227742	228953	+	1212	6	6	10	27
YAR075W	I	228844	229317	+	474	23	20	22	43
YBL113C	II	280	2658	-	2379	665	419	817	918
YBL113W-A	II	646	1128	+	483	0	0	0	0
YBL112C	II	2582	2899	-	318	3	1	3	3
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	25	4	42	26
YBL109W	II	5790	6125	+	336	10	5	14	17
YBL108C-A	II	7605	7733	-	129	4	5	11	27
YBL108W	II	8177	8482	+	306	0	4	1	6
YBL107W-A	II	9268	9372	+	105	3	6	0	6
tL(UAA)B1	II	9583	9666	+	84	1	1	0	0
YBL107C	II	9961	10551	-	591	850	909	926	1717
YBL106C	II	10847	13879	-	3033	595	558	739	1070
YBL105C	II	14241	17696	-	3456	1829	1705	2264	3266
YBL104C	II	18177	21293	-	3117	1050	919	1268	1697
YBL103C	II	22076	23536	-	1461	1033	896	1185	1796
YBL102W	II	24098	24745	+	648	1104	1066	1369	2265
YBL101C	II	24946	28299	-	3354	1190	1492	1307	2924
YBL100W-C	II	28427	28546	+	120	9	10	15	31
YBL100W-B	II;II	29935;31229	31227;35248	+;+	5313	1026	1521	1188	2809
YBL100W-A	II	29935	31251	+	1317	0	0	0	0
tF(GAA)B	II;II	36398;36453	36434;36488	+;+	73	1	0	0	0
YBL100C	II	36989	37303	-	315	310	323	353	718
YBL099W	II	37053	38690	+	1638	9875	10954	11388	21439
YBL098W	II	39145	40527	+	1383	1529	1024	1747	2164
YBL097W	II	40831	43095	+	2265	614	507	715	1039
YBL096C	II	43174	43482	-	309	15	10	8	12
YBL095W	II	43277	44089	+	813	297	236	310	444
YBL094C	II	43765	44097	-	333	0	0	0	2
YBL093C	II	44256	44918	-	663	1363	970	1723	2059
YBL092W	II	45978	46370	+	393	37913	25133	48197	56311
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	233	300	259	555
YBL091C	II	47363	48628	-	1266	5001	4455	5545	8193
YBL090W	II	48825	49358	+	534	820	664	856	1434
YBL089W	II	49574	50953	+	1380	398	371	513	847
YBL088C	II	51019	59382	-	8364	1109	974	1452	2152
YBL087C	II;II	59822;60698	60193;60739	-;-	414	14945	9477	20442	21673
YBL086C	II	61202	62602	-	1401	796	696	765	1309
YBL085W	II	63876	66818	+	2943	2264	1756	2588	3720
YBL084C	II	67169	69445	-	2277	586	643	716	1178
YBL083C	II	69713	70138	-	426	0	0	0	0
YBL082C	II	69751	71127	-	1377	979	729	1307	1558
YBL081W	II	71866	72972	+	1107	1743	1152	1857	1967
YBL080C	II	73070	74695	-	1626	391	408	394	854
YBL079W	II	75259	79767	+	4509	3018	2482	4025	5076
YBL078C	II	80378	80731	-	354	109	316	102	522
YBL077W	II	80897	81328	+	432	0	2	0	5
YBL076C	II	81043	84261	-	3219	15291	11898	20072	22346
YBL075C	II	84499	86448	-	1950	904	1230	1034	2562
YBL074C	II	86722	87789	-	1068	151	183	240	374
YBL073W	II	87646	87957	+	312	8	10	8	12
snR56	II	88190	88277	+	88	13	15	8	35
YBL072C	II	88523	89125	-	603	27472	19419	33604	38504
YBL071C-B	II	89458	89556	-	99	5	4	8	8
YBL071W-A	II	89978	90226	+	249	201	198	323	469
YBL071C	II	90223	90531	-	309	153	72	177	259
YBL070C	II	90605	90925	-	321	1	5	5	7
YBL069W	II	90741	92030	+	1290	720	462	750	942
YBL068W-A	II	91794	92030	+	237	0	0	0	0
YBL068W	II	92414	93394	+	981	1517	1101	1831	2044
YBL067C	II	93639	95882	-	2244	1545	1043	1847	2035
YBL066C	II	96669	100115	-	3447	686	641	881	1264
YBL065W	II	99963	100307	+	345	2	0	0	7
YBL064C	II	100371	101156	-	786	368	1050	411	2131
YBL063W	II	101886	105221	+	3336	587	536	797	1114
YBL062W	II	105308	105688	+	381	0	0	0	0
YBL061C	II	105316	107406	-	2091	1619	1374	1881	2673
YBL060W	II	107932	109995	+	2064	577	637	722	1117
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	323	306	389	672
YBL059W	II;II	110594;110949	110879;111244	+;+	582	147	180	185	402
YBL058W	II	111437	112708	+	1272	3123	3622	3811	7585
YBL057C	II	112801	113427	-	627	941	739	1173	1666
YBL056W	II	113762	115168	+	1407	3722	3328	4984	6300
YBL055C	II	115573	116829	-	1257	1007	782	1278	1600
YBL054W	II	117589	119166	+	1578	1900	972	2326	1863
YBL053W	II	119335	119709	+	375	0	3	5	4
YBL052C	II	119379	121874	-	2496	1104	901	1387	1673
YBL051C	II	122753	124759	-	2007	3275	2914	3747	5351
YBL050W	II;II	125125;125271	125154;126119	+;+	879	1282	1306	1575	2668
YBL049W	II	126828	127244	+	417	154	163	152	328
YBL048W	II	127299	127610	+	312	41	63	49	133
YBL047C	II	127895	132040	-	4146	3929	3832	5063	7755
YBL046W	II	132424	133749	+	1326	1146	994	1368	1917
YBL045C	II	134143	135516	-	1374	4081	4644	4511	9907
YBL044W	II	135998	136366	+	369	0	1	3	8
YBL043W	II	136688	137461	+	774	124	149	94	313
YBL042C	II	138341	140260	-	1920	2289	1246	2506	2445
YBL041W	II	141247	141972	+	726	3413	3921	3704	7827
YBL040C	II;II	142112;142847	142749;142868	-;-	660	1103	1169	1362	2312
YBL039W-B	II	143393	143572	+	180	110	133	121	253
YBL039C	II	143989	145728	-	1740	6654	4163	8818	8427
YBL039C-A	II	144948	145031	-	84	0	0	0	0
YBL038W	II	146187	146885	+	699	1080	957	1186	2105
YBL037W	II	147209	150286	+	3078	931	891	1199	1681
YBL036C	II	150447	151220	-	774	1683	1561	1969	3167
YBL035C	II	151493	153610	-	2118	827	656	944	1333
YBL034C	II	153848	158389	-	4542	886	845	1125	1619
YBL033C	II	158656	159693	-	1038	1237	1176	1269	2264
YBL032W	II	160184	161329	+	1146	2901	2311	3478	4429
YBL031W	II	161699	162715	+	1017	435	418	478	830
YBL030C	II	163041	163997	-	957	14211	15233	16070	30165
YBL029C-A	II	164488	164772	-	285	224	274	209	567
YBL029W	II	166134	167264	+	1131	382	311	389	556
YBL028C	II	167518	167838	-	321	1895	1120	2437	2197
YBL027W	II;II	168423;168809	168424;169376	+;+	570	37105	25100	47490	54946
YBL026W	II;II	170623;170805	170676;171038	+;+	288	704	630	970	1352
YBL025W	II	171481	171918	+	438	422	359	513	710
YBL024W	II	172534	174588	+	2055	4217	2748	5630	5647
YBL023C	II	174920	177526	-	2607	1267	1018	1666	2259
YBL022C	II	177874	181275	-	3402	3751	4547	4679	9051
YBL021C	II	181660	182094	-	435	423	385	483	767
YBL020W	II	182401	184125	+	1725	1144	1030	1647	1939
YBL019W	II	184353	185915	+	1563	452	453	492	794
YBL018C	II;II	185998;186428	186352;186474	-;-	402	364	261	529	580
YBL017C	II	186844	191583	-	4740	3059	2464	3783	5057
YBL016W	II	192451	193512	+	1062	1858	1748	2049	3379
YBL015W	II	194122	195702	+	1581	492	643	619	1517
tI(AAU)B	II	197494	197567	+	74	0	0	0	0
tG(GCC)B	II	197629	197699	-	71	3	0	0	3
YBL014C	II	199064	201748	-	2685	1201	837	1454	1690
YBL013W	II	202056	203261	+	1206	41	55	84	145
YBL012C	II	203406	203807	-	402	17	12	14	26
YBL011W	II	203538	205817	+	2280	2144	1727	2592	3161
YBL010C	II	206107	206949	-	843	496	476	528	946
YBL009W	II	207194	209224	+	2031	1364	1178	1542	2258
YBL008W-A	II	209409	209648	+	240	0	0	0	2
YBL008W	II	209653	212175	+	2523	1013	894	1266	1652
YBL007C	II	212632	216366	-	3735	3073	2919	4036	6059
YBL006C	II	216587	217129	-	543	898	689	1056	1342
YBL006W-A	II	216711	216860	+	150	0	0	0	0
YBL005W	II	217470	220400	+	2931	1639	1755	2073	3353
YBL005W-B	II;II	221330;222636	222634;226598	+;+	5268	3242	5913	4203	11279
YBL005W-A	II	221330	222652	+	1323	0	0	0	0
tS(AGA)B	II	227075	227156	+	82	1	0	3	4
YBL004W	II	227636	235117	+	7482	4676	2906	6361	6072
YBL003C	II	235394	235792	-	399	7701	5206	10257	11645
YBL002W	II	236492	236887	+	396	8724	5473	10722	11687
YBL001C	II	237153	237467	-	315	778	784	986	1950
YBR001C	II	238941	241283	-	2343	769	1270	1044	2619
YBR002C	II	241708	242568	-	861	1480	978	1747	1956
YBR003W	II	242809	244230	+	1422	1330	1247	1469	2653
YBR004C	II	244366	245667	-	1302	614	593	814	1147
YBR005W	II	245906	246547	+	642	360	361	361	773
YBR006W	II	247010	248503	+	1494	234	513	308	954
YBR007C	II	248806	251016	-	2211	888	687	1057	1303
YBR008C	II	252563	254209	-	1647	602	495	730	836
YBR009C	II	255373	255684	-	312	19907	14640	24332	28351
YBR010W	II	256331	256741	+	411	12296	8181	16093	16972
YBR011C	II	257112	257975	-	864	17614	14739	20928	30240
YBR012C	II	259147	259566	-	420	569	595	599	1115
YBR012W-B	II;II	259869;261175	261173;265140	+;+	5271	737	1716	1005	3159
YBR012W-A	II	259869	261191	+	1323	0	0	0	0
YBR013C	II	265492	265881	-	390	128	179	164	353
tT(AGU)B	II	266378	266450	+	73	0	0	0	0
YBR014C	II	266725	267336	-	612	804	975	939	1884
YBR015C	II	267710	269503	-	1794	3435	2950	4404	6223
YBR016W	II	270247	270633	+	387	1694	1332	2207	2612
YBR017C	II	270947	273703	-	2757	3457	2844	4412	5902
YBR018C	II	274427	275527	-	1101	16	61	42	111
YBR019C	II	276253	278352	-	2100	148	138	163	285
YBR020W	II	279021	280607	+	1587	189	143	186	307
YBR021W	II	281443	283344	+	1902	856	561	970	1140
YBR022W	II	283738	284271	+	534	363	368	454	634
YBR023C	II	284428	287925	-	3498	2323	2642	3108	4928
YBR024W	II	289445	290350	+	906	421	524	515	1098
YBR025C	II	290681	291865	-	1185	17710	13748	22035	25998
YBR026C	II	292877	294019	-	1143	1306	1642	1511	3006
YBR027C	II	294024	294356	-	333	13	15	15	16
YBR028C	II	294425	296002	-	1578	1233	999	1322	1853
YBR029C	II	296369	297742	-	1374	1803	1592	2219	3153
YBR030W	II	298292	299950	+	1659	1007	831	1211	1481
YBR031W	II	300166	301254	+	1089	55660	38935	72028	82391
YBR032W	II	301519	301821	+	303	261	110	268	204
YBR033W	II	301944	304703	+	2760	317	319	351	632
YBR034C	II	304930	305976	-	1047	4850	2427	5688	4833
YBR035C	II	306269	306955	-	687	2020	2027	2311	4212
snR161	II	307185	307345	-	161	14	11	11	19
TLC1	II	307587	308887	+	1301	1414	1303	1537	2230
YBR036C	II	309081	310313	-	1233	1999	2056	2481	4158
YBR037C	II	310565	311452	-	888	590	685	687	1427
YBR038W	II	311898	314789	+	2892	1807	2003	2282	3740
YBR039W	II	315575	316510	+	936	2828	3179	3322	6579
YBR040W	II	316968	317864	+	897	17	68	18	118
YBR041W	II	318266	320275	+	2010	1341	1722	1803	3263
YBR042C	II	320416	321609	-	1194	928	777	1055	1505
YBR043C	II	321876	323945	-	2070	1238	1195	1453	2306
YBR044C	II	324341	326059	-	1719	964	824	1001	1640
tV(UAC)B	II	326792	326865	-	74	2	1	0	2
YBR045C	II	328173	330092	-	1920	206	177	238	395
YBR046C	II	330507	331511	-	1005	425	665	515	1263
YBR047W	II	331833	332360	+	528	80	191	151	331
YBR048W	II;II	332831;333387	332875;333812	+;+	471	25201	18620	33802	38725
YBR049C	II	334386	336818	-	2433	2515	2184	3381	4204
YBR050C	II	337183	338199	-	1017	70	74	56	154
YBR051W	II	337988	338338	+	351	3	2	6	13
YBR052C	II	338720	339352	-	633	1332	1675	1538	3192
YBR053C	II	339675	340751	-	1077	496	1124	632	2049
YBR054W	II	343101	344135	+	1035	708	2923	849	5010
YBR055C	II	344602	347301	-	2700	1204	1118	1613	2277
tL(UAA)B2	II	347603	347686	+	84	0	4	1	12
YBR056W	II	347879	349384	+	1506	640	1163	712	2195
tQ(UUG)B	II	350827	350898	+	72	0	1	2	1
YBR056W-A	II	351255	351455	+	201	3	1	18	6
YBR056C-B	II	351293	351451	-	159	0	0	0	0
YBR057C	II	352193	353293	-	1101	1007	814	1189	1591
YBR058C	II	353672	356017	-	2346	1633	1494	1986	2937
YBR058C-A	II	356324	356566	-	243	785	709	941	1455
YBR059C	II	356861	360187	-	3327	1893	2300	2315	4564
YBR060C	II	360652	362514	-	1863	1526	1009	1728	1901
YBR061C	II	364787	365719	-	933	1123	875	1478	1781
YBR062C	II;II	365976;366585	366502;366600	-;-	543	425	526	486	990
YBR063C	II	366970	368184	-	1215	460	524	499	871
YBR064W	II	367763	368191	+	429	3	4	6	2
YBR065C	II	368584	369678	-	1095	397	420	552	856
YBR066C	II	370037	370699	-	663	388	375	491	737
YBR067C	II	372103	372735	-	633	3711	3989	4225	7880
YBR068C	II	373861	375690	-	1830	8316	7730	10691	15766
YBR069C	II	376574	378433	-	1860	4405	3729	5842	7727
YBR070C	II	379221	379934	-	714	435	507	591	961
YBR071W	II	380411	381046	+	636	1181	1292	1241	2620
YBR072W	II	382030	382674	+	645	82	1242	95	2239
YBR072C-A	II	382860	383021	-	162	1	1	3	3
YBR073W	II	383112	385988	+	2877	2590	2762	2971	5144
YBR074W	II	386286	389216	+	2931	1999	1754	2296	3306
YBR076W	II	390227	391291	+	1065	44	91	72	208
YBR076C-A	II	391351	391617	-	267	145	186	170	345
YBR077C	II	391805	392293	-	489	515	567	632	1235
YBR078W	II;II	393123;393511	393180;394742	+;+	1290	21691	19246	29168	40077
YBR079C	II	395383	398277	-	2895	11764	7754	15345	15517
YBR080C	II	398614	400890	-	2277	2775	2818	3189	5384
YBR081C	II	401253	405251	-	3999	1676	1569	2145	3028
tR(UCU)B	II	405878	405949	+	72	0	0	0	0
tD(GUC)B	II	405960	406031	+	72	4	1	1	2
YBR082C	II;II	406628;407123	407027;407169	-;-	447	5467	6467	6618	13549
YBR083W	II	409169	410629	+	1461	2420	3128	2097	5894
YBR084W	II	411054	413981	+	2928	9985	5427	12697	10771
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	27035	18228	34663	40059
YBR085W	II	415983	416906	+	924	520	270	640	551
YBR085C-A	II	418907	419164	-	258	587	1857	709	3654
YBR086C	II	420201	423041	-	2841	4716	4649	6100	9653
YBR087W	II	423765	424829	+	1065	1178	1042	1526	2063
YBR088C	II	424990	425766	-	777	500	394	601	701
YBR089W	II	425183	425782	+	600	0	4	0	2
YBR089C-A	II	426190	426489	-	300	704	625	839	1084
YBR090C	II;II	426333;426874	426516;427058	-;-	369	49	33	42	43
YBR091C	II	427155	427484	-	330	374	276	434	725
YBR092C	II	427698	429101	-	1404	87	65	107	126
YBR093C	II	429548	430951	-	1404	305	280	478	572
YBR094W	II	432036	434297	+	2262	1229	1223	1541	2549
YBR095C	II	434406	435698	-	1293	863	627	973	1336
YBR096W	II	436021	436713	+	693	951	1166	1157	2176
YBR097W	II	436951	441315	+	4365	613	688	810	1325
YBR098W	II	441515	443590	+	2076	341	346	384	710
YBR099C	II	442924	443307	-	384	0	0	0	0
YBR101C	II	443821	444693	-	873	2152	2018	2655	3589
YBR102C	II	445062	447323	-	2262	995	931	1236	1818
YBR103W	II	447709	449316	+	1608	837	934	1035	1812
YBR103C-A	II	449320	449463	-	144	1	1	1	3
YBR104W	II	449667	450656	+	990	1732	1016	2130	2104
YBR105C	II	450881	451969	-	1089	703	715	523	1280
YBR106W	II	452658	453224	+	567	9269	6532	12310	14393
YBR107C	II	453793	454530	-	738	482	366	544	770
YBR108W	II	454822	457665	+	2844	716	817	882	1809
YBR109C	II	457919	458362	-	444	3345	3377	4194	7122
YBR109W-A	II	458608	458832	+	225	11	6	11	19
YBR110W	II	458872	460221	+	1350	977	1091	1181	1966
YBR111C	II	461178	461873	-	696	1972	2124	2129	4301
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	285	333	374	631
YBR112C	II	462870	465770	-	2901	3690	2835	4103	5307
YBR113W	II	465566	466048	+	483	60	50	61	86
YBR114W	II	467248	469620	+	2373	829	724	785	1486
YBR115C	II	469748	473926	-	4179	9291	8349	10459	15059
YBR116C	II	474199	474726	-	528	0	1	5	0
YBR117C	II	474392	476437	-	2046	280	294	317	486
YBR118W	II	477671	479047	+	1377	75039	59697	94076	112674
YBR119W	II;II	479338;479435	479345;480323	+;+	897	520	447	596	928
YBR120C	II	480435	480923	-	489	376	343	406	734
YBR121C	II	481364	483367	-	2004	15277	11011	18914	20569
YBR121C-A	II	482326	482484	-	159	0	0	0	0
YBR122C	II	483970	484503	-	534	1374	1279	1547	2575
YBR123C	II	484742	486691	-	1950	841	741	989	1399
YBR124W	II	486507	486866	+	360	0	5	1	5
YBR125C	II	487199	488380	-	1182	975	943	1164	1842
YBR126C	II	488905	490392	-	1488	3109	5447	3709	10834
YBR126W-A	II	490850	491056	+	207	11	14	30	15
YBR126W-B	II	490927	491070	+	144	64	109	88	174
YBR127C	II	491269	492822	-	1554	11780	10188	14054	20325
YBR128C	II	493081	494115	-	1035	99	155	123	245
YBR129C	II	494353	495339	-	987	597	481	775	954
YBR130C	II	495592	496869	-	1278	1683	1466	1941	2836
YBR131W	II	497163	499277	+	2115	500	433	509	815
YBR131C-A	II	497650	497739	-	90	0	0	0	0
YBR132C	II	499652	501442	-	1791	298	511	316	1018
YBR133C	II	501804	504287	-	2484	2107	2238	2586	4044
YBR134W	II	504243	504644	+	402	2	1	3	3
YBR135W	II	504854	505306	+	453	961	868	1188	1880
YBR136W	II	505668	512774	+	7107	710	714	943	1342
YBR137W	II	513044	513583	+	540	528	605	641	1201
YBR138C	II	513762	515336	-	1575	415	481	540	877
YBR139W	II	515664	517190	+	1527	906	1431	1041	2984
YBR140C	II	517350	526628	-	9279	1843	2001	2478	3781
YBR141C	II	527025	528038	-	1014	506	294	613	640
YBR141W-A	II	527167	527262	+	96	0	0	0	0
YBR142W	II	528317	530638	+	2322	3379	2026	4483	3832
YBR143C	II	530869	532182	-	1314	9534	6930	12852	13582
YBR144C	II	533235	533549	-	315	5	6	15	14
YBR145W	II	533762	534817	+	1056	1109	1161	1206	2150
YBR146W	II	535260	536096	+	837	2226	2006	2394	3922
YBR147W	II	536575	537465	+	891	147	297	137	583
YBR148W	II	537876	539705	+	1830	115	115	134	217
YBR149W	II	539987	541021	+	1035	1599	3036	2030	6152
YBR150C	II	541209	544493	-	3285	486	514	615	897
YBR151W	II	545028	545978	+	951	1956	2229	2498	4439
YBR152W	II	546376	547251	+	876	321	228	375	451
YBR153W	II	547460	548194	+	735	705	452	719	993
YBR154C	II	548362	549009	-	648	3846	2480	4679	5038
YBR155W	II	549771	550928	+	1158	2157	1368	2338	2523
YBR156C	II	551104	553200	-	2097	638	668	736	1299
YBR157C	II	553543	554310	-	768	336	323	431	588
YBR158W	II	556549	558198	+	1650	6131	3021	7164	5883
YBR159W	II	558685	559728	+	1044	2340	2142	2889	3950
YBR160W	II	560078	560974	+	897	1167	1299	1418	2493
YBR161W	II	561634	562764	+	1131	539	559	690	995
YBR162C	II	563203	564570	-	1368	15025	10275	20584	20444
YBR162W-A	II	565231	565428	+	198	1091	881	1326	2318
YBR163W	II	565723	567480	+	1758	832	632	1059	1291
YBR164C	II	567875	568426	-	552	1714	1513	2160	2946
YBR165W	II	568852	569685	+	834	583	436	618	965
YBR166C	II	569842	571200	-	1359	1454	1274	1733	2751
YBR167C	II	571468	571890	-	423	359	312	468	694
YBR168W	II	572371	573612	+	1242	383	411	437	786
YBR169C	II	573915	575996	-	2082	402	802	479	1483
YBR170C	II	576344	578086	-	1743	1070	1331	1399	2568
YBR171W	II	578364	578984	+	621	1491	1301	1789	2601
YBR172C	II	579150	581372	-	2223	2678	2068	3189	4110
YBR173C	II	581726	582172	-	447	1454	1809	1691	3752
YBR174C	II	582338	582652	-	315	2	4	1	3
YBR175W	II	582408	583355	+	948	535	519	658	987
YBR176W	II	583720	584658	+	939	566	540	640	993
YBR177C	II	584807	586162	-	1356	1603	1726	1952	3445
YBR178W	II	586071	586445	+	375	5	8	3	10
YBR179C	II	586547	589114	-	2568	1049	1061	1278	2019
YBR180W	II	589741	591459	+	1719	83	116	124	213
