gene_id,D_1_count,D_2_count,D_3_count,G_1_count,G_2_count,G_3_count,D_1_fpkm,D_2_fpkm,D_3_fpkm,G_1_fpkm,G_2_fpkm,G_3_fpkm,DvsG_D,DvsG_G,DvsG_log2FoldChange,DvsG_pvalue,DvsG_padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,Family
YJL159W,26556,31006,32349,172837,143093,192946,1663.742876,1776.22357,2021.559075,6374.691329,6059.009969,6655.579357,37961.88858,132244.8058,-1.800594725,2.35E-63,2.46E-62,HSP150,X,120449,121690,+,1242,protein_coding,- && sp|P32478|HS150_YEAST Cell wall mannoprotein HSP150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP150 PE=1 SV=2 && PF00399:Yeast PIR protein repeat,-
YPR080W,83933,86913,84141,58428,45445,59578,4742.89981,4490.805878,4742.648102,1943.708425,1735.629574,1853.632614,107706.6738,42495.69885,1.341704865,4.62E-44,3.12E-43,TEF1,XVI,700594,701970,+,1377,protein_coding,- && sp|P02994|EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1 && PF00009:Elongation factor Tu GTP binding domain|PF03143:Elongation factor Tu C-terminal domain|PF03144:Elongation f,-
YOR063W,97126,107924,94340,35408,30678,36876,6492.734851,6596.87925,6290.570942,1393.453411,1386.050126,1357.258307,126241.3088,26862.57915,2.232522301,4.82E-132,1.74E-130,RPL3,XV,444686,445849,+,1164,protein_coding,- && sp|P14126|RL3_YEAST 60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4 && PF00297:Ribosomal protein L3,-
YLR029C,127609,121417,88244,25509,24170,24914,16145.49387,14046.81504,11136.71852,1900.038298,2066.837862,1735.561576,142238.6346,19569.23092,2.861684028,7.49E-100,1.56E-98,RPL15A,XII,201976,202590,-,615,protein_coding,- && sp|P05748|RL15A_YEAST 60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL15A PE=1 SV=3 && PF00827:Ribosomal L15,-
YGL008C,76329,78254,80802,71213,62885,70266,2154.259174,2019.49723,2274.743943,1183.222862,1199.541211,1091.893166,99499.55028,53446.75035,0.89659292,4.57E-19,1.49E-18,PMA1,VII,479910,482666,-,2757,protein_coding,"- && sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2 && PF00122:E1-E2 ATPase|PF00690:Cation transporter/ATPase, N-terminus|PF00702:haloacid dehalogenase-like hydrolase",-
YDR050C,136590,130977,109195,23229,24523,23911,14227.98661,12475.21155,11345.64848,1424.472105,1726.465365,1371.351608,159061.835,18853.45355,3.076738105,5.33E-134,2.01E-132,TPI1,IV,555726,556472,-,747,protein_coding,- && sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2 && PF00121:Triosephosphate isomerase,-
YMR116C,102305,99842,80642,24725,22620,22924,8292.21915,7399.72399,6519.844382,1179.801935,1239.156735,1023.035841,119330.6226,18437.83283,2.694262372,1.93E-110,4.69E-109,ASC1,XIII,499456,500688,-,960,protein_coding,"- && sp|P38011|GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASC1 PE=1 SV=4 && PF00400:WD domain, G-beta repeat",-
YOR369C,107398,127931,87961,17199,16965,16016,19344.50369,21070.04823,15803.51104,1823.742364,2065.261224,1588.334597,135895.5921,13205.25255,3.363385172,2.09E-142,8.84E-141,RPS12,XV,1028194,1028625,-,432,protein_coding,- && sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS12 PE=1 SV=1 && PF01248:Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,-
YLR167W,104582,116533,86182,20202,18764,19711,17729.21073,18063.82525,14573.07016,2016.163361,2149.896797,1839.787462,129365.0558,15381.83024,3.072195917,2.14E-153,1.05E-151,RPS31,XII,498947,499405,+,459,protein_coding,- && sp|P05759|RS31_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS31 PE=1 SV=3 && PF01599:Ribosomal protein S27a|PF00240:Ubiquitin family,-
YNL178W,92579,100011,63406,21774,20682,20422,9963.669945,9841.99079,6806.741096,1379.570688,1504.385402,1210.128967,107664.4503,16517.79397,2.704488767,2.86E-78,4.01E-77,RPS3,XIV,302680,303402,+,723,protein_coding,"- && sp|P05750|RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS3 PE=1 SV=5 && PF00189:Ribosomal protein S3, C-terminal domain|PF07650:KH domain",-
YKL056C,99278,120956,86093,22903,20872,20208,15327.36952,17075.37938,13258.19731,2081.641193,2177.902351,1717.767885,128772.4205,16810.5194,2.937438347,6.69E-119,1.87E-117,TMA19,XI,334412,334915,-,504,protein_coding,- && sp|P35691|TCTP_YEAST Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA19 PE=1 SV=1 && PF00838:Translationally controlled tumour protein,-
YLR441C,98436,104913,75368,18792,16944,16829,9973.277018,9719.447264,7616.806866,1120.871484,1160.271425,938.7906872,117366.4515,13798.68265,3.088468894,5.51E-127,1.81E-125,RPS1A,XII,1018141,1018908,-,768,protein_coding,- && sp|B3RHV0|RS3A1_YEAS1 40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=RPS1A PE=3 SV=1 && PF01015:Ribosomal S3Ae family,-
YDR524C-B,77245,77814,58869,33229,30214,33781,29903.32388,27544.51724,22732.00663,7572.952821,7905.276077,7200.25913,90187.24616,25432.88928,1.826245908,4.63E-54,3.94E-53,YDR524C-B,IV,1489598,1489798,-,201,protein_coding,- && sp|Q3E6R4|YD24B_YEAST Uncharacterized protein YDR524C-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDR524C-B PE=3 SV=1 && -,-
YGL123W,93178,83947,65735,18025,16460,17489,9477.572032,7807.594098,6669.333041,1079.339013,1131.548751,979.4341104,102554.1784,13617.72019,2.912863522,6.81E-110,1.61E-108,RPS2,VII,277617,278381,+,765,protein_coding,"- && sp|P25443|RS2_YEAST 40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS2 PE=1 SV=3 && PF03719:Ribosomal protein S5, C-terminal domain|PF00333:Ribosomal protein S5, N-terminal domain",-
YHL015W,91822,94700,71244,19893,18767,19024,19521.39312,18409.5162,15108.25765,2489.792957,2696.613116,2226.857538,108631.906,15140.26437,2.843035917,3.49E-118,9.55E-117,RPS20,VIII,75412,75777,+,366,protein_coding,- && sp|P38701|RS20_YEAST 40S ribosomal protein S20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS20 PE=1 SV=3 && PF00338:Ribosomal protein S10p/S20e,-
YKL096W-A,44011,52906,53512,72947,69388,78155,12274.45386,13491.93394,14886.55316,11976.97849,13079.31624,12001.18821,63474.613,57687.62321,0.137926726,0.201378553,0.239558914,CWP2,XI,259253,259531,+,279,protein_coding,- && sp|P43497|CWP2_YEAST Cell wall protein CWP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CWP2 PE=1 SV=1 && -,-
YIL018W,71408,74389,65041,19635,17279,18189,7263.243079,6918.64054,6598.92128,1175.745993,1187.851207,1018.636116,88965.7685,14436.43334,2.623585997,2.48E-137,9.67E-136,RPL2B,IX,316768,317932,+,765,protein_coding,"- && sp|P0CX45|RL2A_YEAST 60S ribosomal protein L2-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL2A PE=1 SV=1 && PF00181:Ribosomal Proteins L2, RNA binding domain|PF03947:Ribosomal Proteins L2, C-terminal domain",-
YJR123W,68341,65435,61310,22861,21334,20886,7843.263037,6866.792035,7018.572576,1544.577011,1654.807463,1319.766992,82448.3616,17097.72958,2.26973741,4.31E-86,7.01E-85,RPS5,X,651901,652578,+,678,protein_coding,- && sp|P26783|RS5_YEAST 40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS5 PE=1 SV=3 && PF00177:Ribosomal protein S7p/S5e,-
YML063W,84783,83293,61158,13637,12933,12317,8589.990912,7716.50721,6180.722247,813.3952976,885.6108559,687.0928097,96645.28777,10226.34426,3.240484224,1.13E-124,3.54E-123,RPS1B,XIII,146482,147249,+,768,protein_coding,- && sp|B3LLJ2|RS3A2_YEAS1 40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=RPS1B PE=3 SV=1 && PF01015:Ribosomal S3Ae family,-
YMR251W-A,14557,18846,16521,100058,90817,107004,6292.808584,7449.380598,7123.788202,25463.80792,26533.80422,25468.25502,21017.58764,77793.93015,-1.888032516,2.40E-75,3.19E-74,HOR7,XIII,774752,774931,+,180,protein_coding,- && sp|Q05827|HOR7_YEAST Protein HOR7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOR7 PE=1 SV=1 && -,-
YGR282C,24191,19600,19110,84078,77813,84855,1998.24191,1480.398548,1574.551816,4088.608305,4344.163183,3859.208275,26641.82216,64606.56421,-1.278003749,1.74E-24,6.82E-24,BGL2,VII,1057783,1058724,-,942,protein_coding,"- && sp|P15703|BGL2_YEAST Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BGL2 PE=1 SV=1 && PF00332:Glycosyl hydrolases family 17",-
YPL090C,75909,82888,57113,13656,12172,12587,8307.470621,8294.601803,6234.656706,879.8283348,900.3206616,758.4453863,90857.90448,10070.96148,3.173468778,8.02E-133,2.92E-131,RPS6A,XVI,377291,378395,-,711,protein_coding,- && sp|P0CX37|RS6A_YEAST 40S ribosomal protein S6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS6A PE=1 SV=1 && PF01092:Ribosomal protein S6e,-
YDL055C,47949,51374,49224,56557,51838,56180,3435.538925,3365.790172,3517.987157,2385.616206,2510.286474,2216.274716,62717.64833,43095.75172,0.541340801,3.61E-08,7.51E-08,PSA1,IV,355674,356759,-,1086,protein_coding,- && sp|P41940|MPG1_YEAST Mannose-1-phosphate guanyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSA1 PE=1 SV=2 && PF00132:Bacterial transferase hexapeptide (six repeats)|PF00483:Nucleotidyl transferase,-
YGL147C,73461,83857,59730,9491,8996,8715,9923.834139,10358.34376,8048.541805,754.8028423,821.3567628,648.2112892,91313.9595,7149.790087,3.674982399,6.03E-183,3.84E-181,RPL9A,VII,227754,228329,-,576,protein_coding,- && sp|P05738|RL9A_YEAST 60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL9A PE=1 SV=2 && PF00347:Ribosomal protein L6,-
YPR132W,69984,81771,58071,15171,13693,14308,12432.82428,13283.07669,10290.40262,1586.660955,1644.104324,1399.511603,88248.20216,11315.94578,2.963269771,1.41E-133,5.25E-132,RPS23B,XVI,794965,795767,+,438,protein_coding,- && sp|P0CY39|RS23A_NAUCC 40S ribosomal protein S23-A OS=Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630) OX=1064592 GN=RPS23A PE=1 SV=1 && PF00164:Ribosomal protein S12/S23,-
YPR035W,19461,22937,21215,34045,23944,33688,1360.551962,1466.273319,1479.432124,1401.206719,1131.374572,1296.736533,26821.74116,23768.37826,0.174331591,0.108534295,0.134513039,GLN1,XVI,642208,643320,+,1113,protein_coding,"- && sp|P32288|GLNA_YEAST Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLN1 PE=1 SV=4 && PF00120:Glutamine synthetase, catalytic domain|PF03951:Glutamine synthetase, beta-Grasp domain",-
YJR009C,55175,66683,72540,16887,14544,18302,4297.560489,4749.229138,5635.847537,774.3388551,765.6375972,784.8826792,82088.99212,12956.11495,2.663548762,2.65E-117,7.05E-116,TDH2,X,453683,454681,-,999,protein_coding,"- && sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3 && PF00044:Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|PF02800:Glyceraldehyde 3-phos",-
YOR374W,2531,4611,2112,112231,113979,126824,126.2445653,210.3022919,105.0791348,3295.583131,3842.422511,3482.960351,3853.885634,92453.87421,-4.584266421,2.76E-46,1.95E-45,ALD4,XV,1039840,1041399,+,1560,protein_coding,"- && sp|P46367|ALDH4_YEAST Potassium-activated aldehyde dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD4 PE=1 SV=2 && PF00171:Aldehyde dehydrogenase family",-
YPL131W,38457,45261,47347,18799,16894,19320,3347.210522,3602.136019,4110.570683,963.2549866,993.8019511,925.8513958,55335.16167,14379.35079,1.944222046,7.11E-72,8.90E-71,RPL5,XVI,303121,304014,+,894,protein_coding,"- && sp|P26321|RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL5 PE=1 SV=4 && PF17144:Ribosomal large subunit proteins 60S L5, and 50S L18|PF14204:Ribosomal L18 C-terminal region",-
YKR042W,16601,17467,15549,58657,48095,66474,1176.459698,1131.851529,1099.125532,2447.155373,2303.575564,2593.708439,20937.77668,44979.46255,-1.10317516,9.31E-30,4.26E-29,UTH1,XI,519527,520624,+,1098,protein_coding,- && sp|B3LRC2|UTH1_YEAS1 Probable secreted beta-glucosidase UTH1 OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=UTH1 PE=3 SV=1 && PF03856:Beta-glucosidase (SUN family),-
YGL055W,14468,15137,11953,68755,60335,72217,734.3641879,702.5401319,605.1763359,2054.500108,2069.817413,2018.222162,17518.59216,52532.93408,-1.584321411,6.66E-51,5.29E-50,OLE1,VII,398628,400160,+,1533,protein_coding,- && sp|P21147|ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OLE1 PE=1 SV=2 && PF00487:Fatty acid desaturase|PF00173:Cytochrome b5-like Heme/Steroid binding domain,-
YNL209W,36431,42975,43839,29693,23392,28658,1538.957446,1659.968097,1847.218145,738.4285666,667.8556484,666.5426363,52018.36113,21297.92745,1.28830222,3.25E-33,1.67E-32,SSB2,XIV,252059,253900,+,1842,protein_coding,- && sp|P40150|SSB2_YEAST Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB2 PE=1 SV=2 && PF00012:Hsp70 protein,-
YOL127W,62556,72759,52535,13984,12639,12619,11346.36691,12067.09998,9504.704457,1493.200615,1549.388384,1260.19958,79022.22422,10299.96823,2.93969524,3.12E-126,1.01E-124,RPL25,XV,80348,81190,+,429,protein_coding,"- && sp|P04456|RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL25 PE=1 SV=4 && PF03939:Ribosomal protein L23, N-terminal domain|PF00276:Ribosomal protein L23",-
YGR254W,33860,48433,62182,22735,23568,28650,2005.103214,2622.524096,3672.962498,792.580951,943.2617814,934.116285,61042.59601,19575.13949,1.640798274,1.72E-22,6.34E-22,ENO1,VII,1000927,1002240,+,1314,protein_coding,"- && sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3 && PF03952:Enolase, N-terminal domain|PF00113:Enolase, C-terminal TIM barrel domain",-
YPL231W,22373,26977,27863,65871,47587,56326,307.3591331,338.8784009,381.81396,532.739684,441.8450114,426.04684,32587.05423,44249.19031,-0.441355169,0.000291881,0.000473429,FAS2,XVI,108652,114315,+,5664,protein_coding,"- && sp|P19097|FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2 && PF01648:4'-phosphopantetheinyl transferase superfamily|PF00109:Beta-ketoacyl synthase, N-terminal domain|PF",-
YBR031W,36528,42442,43759,18513,16377,20183,2610.015936,2772.946197,3118.793941,778.7408525,790.8813661,794.0164917,51814.03265,14359.58109,1.851330245,1.29E-71,1.61E-70,RPL4A,II,300166,301254,+,1089,protein_coding,- && sp|P10664|RL4A_YEAST 60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4A PE=1 SV=4 && PF00573:Ribosomal protein L4/L1 family|PF14374:60S ribosomal protein L4 C-terminal domain,-
YOR096W,60037,68936,51199,11513,10545,10214,8152.851002,8559.826062,6935.120787,920.4027754,967.8249997,763.6826322,75824.14045,8479.309225,3.160742136,7.44E-145,3.25E-143,RPS7A,XV,505794,506767,+,573,protein_coding,- && sp|P26786|RS7A_YEAST 40S ribosomal protein S7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS7A PE=1 SV=4 && PF01251:Ribosomal protein S7e,-
YER043C,54262,59213,61227,21489,15405,17106,3127.570968,3120.734185,3520.111214,729.1661081,600.1126868,542.858174,73803.41496,14097.70659,2.388232238,4.84E-84,7.61E-83,SAH1,V,235770,237119,-,1350,protein_coding,"- && sp|P39954|SAHH_YEAST Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAH1 PE=1 SV=1 && PF00670:S-adenosyl-L-homocysteine hydrolase, NAD binding domain|PF05221:S-adenosyl-L-homocysteine hydrolase",-
YHR010W,52076,67212,47984,9972,9370,9322,9859.183301,11635.32393,9061.535567,1111.436064,1198.954337,971.7151169,70271.38408,7527.365882,3.222833968,8.81E-150,4.08E-148,RPL27A,VIII,126521,127492,+,411,protein_coding,- && sp|P0C2H6|RL27A_YEAST 60S ribosomal protein L27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL27A PE=1 SV=1 && PF01777:Ribosomal L27e protein family,-
YOR312C,54036,59148,44146,11572,10945,10856,8101.416866,8108.605809,6601.933933,1021.374719,1109.055505,896.1364845,66252.10713,8765.377759,2.918177084,4.82E-127,1.60E-125,RPL20B,XV,900250,901194,-,519,protein_coding,- && sp|P0CX23|RL20A_YEAST 60S ribosomal protein L20-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL20A PE=1 SV=1 && PF01775:Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,-
YGL030W,54283,59357,45552,12680,12619,12632,13282.56243,13280.6186,11118.02132,1826.569369,2086.905071,1701.831976,67054.15986,9964.920165,2.750492961,8.00E-120,2.29E-118,RPL30,VII,439091,439638,+,318,protein_coding,- && sp|P14120|RL30_YEAST 60S ribosomal protein L30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL30 PE=1 SV=3 && PF01248:Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,-
YLR075W,58822,56118,38909,13489,13349,14420,6872.43597,5995.169101,4534.433247,927.7897333,1054.094089,927.6042154,64856.77769,10812.56944,2.5845919,3.49E-76,4.71E-75,RPL10,XII,282927,283592,+,666,protein_coding,- && sp|P41805|RL10_YEAST 60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL10 PE=1 SV=1 && PF00252:Ribosomal protein L16p/L10e,-
YBR189W,51495,47457,37926,13445,12827,12477,6814.482507,5742.439608,5006.184918,1047.436051,1147.235673,909.0850826,57793.99713,10184.27483,2.504649479,2.94E-80,4.30E-79,RPS9B,II,604508,605508,+,588,protein_coding,- && sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9B PE=1 SV=4 && PF01479:S4 domain,-
YGR118W,51160,61727,43528,9242,8289,9057,9088.695845,10027.08142,7713.327568,966.5757399,995.2516428,885.8943658,65754.84714,6959.217787,3.240179121,2.31E-167,1.28E-165,RPS23A,VII,726974,727730,+,438,protein_coding,- && sp|P0CY39|RS23A_NAUCC 40S ribosomal protein S23-A OS=Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630) OX=1064592 GN=RPS23A PE=1 SV=1 && PF00164:Ribosomal protein S12/S23,-
YOL154W,9265,8365,16815,758,571,652,961.2344005,793.5570672,1740.134354,46.29690715,40.03867702,37.24414551,14673.70133,517.0103455,4.826902728,2.03E-38,1.19E-37,ZPS1,XV,34658,35407,+,750,protein_coding,- && sp|Q12512|ZPS1_YEAST Protein ZPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZPS1 PE=3 SV=1 && PF13933:Putative peptidase family,-
YAL038W,42902,50453,50905,12089,9875,13778,2221.077448,2388.369389,2628.746056,368.4473471,345.5278022,392.7343448,60882.87161,9277.702775,2.714132173,1.20E-143,5.17E-142,CDC19,I,71786,73288,+,1503,protein_coding,"- && sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2 && PF02887:Pyruvate kinase, alpha/beta domain|PF00224:Pyruvate kinase, barrel domain",-
