gene_id,location,location_encoded,split
YLR395C,Mitochondria,2,train
YDL140C,Nucleus,3,train
YOR116C,Nucleus,3,train
YER165W,Nucleus,3,train
YPL248C,Nucleus,3,test
YGL031C,Cytoplasm,0,train
YOL127W,Cytoplasm,0,train
YMR056C,Mitochondria,2,train
YOL006C,Nucleus,3,train
YLL018C,Cytoplasm,0,train
YEL063C,Membrane_Secretory,1,test
YDL164C,Nucleus,3,train
YLR310C,Membrane_Secretory,1,train
YNL055C,Mitochondria,2,train
YDR225W,Nucleus,3,train
YBL003C,Nucleus,3,test
YGL008C,Membrane_Secretory,1,test
YOR386W,Nucleus,3,train
YJL088W,Cytoplasm,0,train
YLR340W,Cytoplasm,0,train
YDL081C,Cytoplasm,0,test
YOL039W,Cytoplasm,0,test
YGR157W,Membrane_Secretory,1,test
YJR073C,Mitochondria,2,train
YDR172W,Cytoplasm,0,train
YGL076C,Cytoplasm,0,train
YLR448W,Cytoplasm,0,train
YKL180W,Cytoplasm,0,train
YPL143W,Cytoplasm,0,train
YMR194W,Cytoplasm,0,test
YLR029C,Cytoplasm,0,train
YNL178W,Cytoplasm,0,train
YBR189W,Nucleus,3,train
YDR064W,Cytoplasm,0,train
YLR167W,Cytoplasm,0,train
YDL165W,Nucleus,3,test
YDR168W,Cytoplasm,0,test
YIL038C,Nucleus,3,train
YOR361C,Cytoplasm,0,train
YGL058W,Nucleus,3,train
YJL080C,Nucleus,3,train
YLR303W,Cytoplasm,0,test
YGR088W,Cytoplasm,0,test
YLR355C,Mitochondria,2,train
YLR044C,Nucleus,3,train
YPR113W,Mitochondria,2,train
YNL104C,Mitochondria,2,train
YDL108W,Nucleus,3,train
YJL164C,Nucleus,3,train
YCR031C,Nucleus,3,train
YOR204W,Cytoplasm,0,train
YDL042C,Nucleus,3,train
YLR442C,Nucleus,3,train
YOR257W,Other,4,train
YPR160W,Cytoplasm,0,train
YGL237C,Nucleus,3,train
YPL022W,Nucleus,3,train
YML032C,Nucleus,3,train
YPR165W,Membrane_Secretory,1,train
YNL090W,Membrane_Secretory,1,test
YDR477W,Nucleus,3,train
YOR074C,Nucleus,3,train
YNL088W,Nucleus,3,test
YBR109C,Other,4,train
YML095C,Nucleus,3,train
YER171W,Nucleus,3,train
YER161C,Nucleus,3,train
YDR392W,Nucleus,3,train
YOR065W,Mitochondria,2,train
YDR226W,Mitochondria,2,train
YNL121C,Mitochondria,2,train
YGL234W,Cytoplasm,0,train
YGR204W,Nucleus,3,train
YMR083W,Mitochondria,2,train
YDR216W,Nucleus,3,train
YMR042W,Nucleus,3,train
YDR173C,Nucleus,3,test
YBL099W,Mitochondria,2,train
YDL067C,Mitochondria,2,train
YBL045C,Mitochondria,2,test
YPR191W,Mitochondria,2,test
YOR303W,Cytoplasm,0,train
YJL130C,Cytoplasm,0,test
YOL139C,Nucleus,3,train
YPL075W,Nucleus,3,train
YPR033C,Mitochondria,2,train
YPL154C,Membrane_Secretory,1,train
YDL106C,Nucleus,3,train
YFR034C,Nucleus,3,train
YML061C,Mitochondria,2,train
YLR014C,Nucleus,3,train
YGL043W,Nucleus,3,train
YOR122C,Membrane_Secretory,1,test
YGR258C,Nucleus,3,train
YMR208W,Cytoplasm,0,train
YIL033C,Nucleus,3,train
YOL121C,Cytoplasm,0,train
YNL302C,Cytoplasm,0,train
YFL045C,Cytoplasm,0,train
YDR023W,Cytoplasm,0,train
YBR243C,Membrane_Secretory,1,train
YMR108W,Mitochondria,2,train
YHR013C,Cytoplasm,0,train
YFL005W,Membrane_Secretory,1,train
YPR110C,Nucleus,3,train
YFL009W,Nucleus,3,train
YAL024C,Cytoplasm,0,test
YOR274W,Nucleus,3,train
YLR438W,Cytoplasm,0,train
YNL192W,Membrane_Secretory,1,train
YJL128C,Cytoplasm,0,train
YEL024W,Mitochondria,2,train
YDR146C,Nucleus,3,train
YPL262W,Nucleus,3,train
YPR047W,Mitochondria,2,train
YKL184W,Cytoplasm,0,train
YER026C,Mitochondria,2,train
YDR523C,Nucleus,3,train
YJL208C,Mitochondria,2,train
YOR151C,Nucleus,3,train
YJL166W,Mitochondria,2,train
YJR010W,Cytoplasm,0,train
YHR005C,Membrane_Secretory,1,train
YDR127W,Cytoplasm,0,test
YLR451W,Nucleus,3,train
YIR019C,Membrane_Secretory,1,train
YCR005C,Membrane_Secretory,1,train
YOR260W,Cytoplasm,0,train
YPL237W,Cytoplasm,0,train
YJL194W,Nucleus,3,train
YEL060C,Membrane_Secretory,1,train
YBL075C,Cytoplasm,0,train
YBR084W,Mitochondria,2,train
YPL016W,Nucleus,3,train
YGL203C,Other,4,test
YFL018C,Mitochondria,2,train
YML085C,Cytoplasm,0,train
YML124C,Cytoplasm,0,train
YKL022C,Nucleus,3,test
YJL026W,Nucleus,3,train
YDR232W,Mitochondria,2,train
YLR182W,Nucleus,3,train
YLR333C,Cytoplasm,0,test
YKR057W,Cytoplasm,0,train
YPR102C,Nucleus,3,train
YLR264W,Cytoplasm,0,train
YDR316W-B,Nucleus,3,train
YDR365W-B,Nucleus,3,test
YLR157C-B,Nucleus,3,train
YLR227W-B,Nucleus,3,test
YPR137C-B,Nucleus,3,test
YPR158W-B,Nucleus,3,train
YPR158C-D,Nucleus,3,train
YLR410W-B,Nucleus,3,train
YHL009W-B,Nucleus,3,train
YPR170W-B,Membrane_Secretory,1,test
YPR192W,Membrane_Secretory,1,train
YLR256W,Nucleus,3,train
YLL039C,Nucleus,3,train
YIL148W,Cytoplasm,0,train
YKR094C,Cytoplasm,0,test
YJR045C,Mitochondria,2,train
YNL015W,Cytoplasm,0,train
YPR043W,Cytoplasm,0,test
YNL162W,Cytoplasm,0,train
YHR141C,Cytoplasm,0,train
YGR118W,Cytoplasm,0,train
YPR132W,Cytoplasm,0,train
YER074W,Cytoplasm,0,train
YIL069C,Cytoplasm,0,train
YJR145C,Cytoplasm,0,test
YHR203C,Cytoplasm,0,train
YPL090C,Nucleus,3,test
YBR181C,Nucleus,3,train
YBL087C,Cytoplasm,0,train
YER117W,Cytoplasm,0,train
YPL220W,Cytoplasm,0,train
YGL135W,Cytoplasm,0,train
YFR031C-A,Cytoplasm,0,train
YIL018W,Cytoplasm,0,train
YDR025W,Cytoplasm,0,train
YBR048W,Cytoplasm,0,test
YOL120C,Cytoplasm,0,train
YNL301C,Cytoplasm,0,train
YMR143W,Cytoplasm,0,train
YEL054C,Cytoplasm,0,train
YDR418W,Cytoplasm,0,test
YDR450W,Cytoplasm,0,train
YML026C,Cytoplasm,0,test
YFL002W-A,Nucleus,3,train
YGR161W-B,Nucleus,3,train
YLR157C,Membrane_Secretory,1,test
YLR158C,Membrane_Secretory,1,train
YLR160C,Membrane_Secretory,1,train
YBR084C-A,Cytoplasm,0,train
YBL027W,Cytoplasm,0,train
YDL191W,Cytoplasm,0,train
YDL136W,Cytoplasm,0,test
YCR040W,Nucleus,3,train
YCR039C,Nucleus,3,train
YLR155C,Membrane_Secretory,1,test
YHL034C,Nucleus,3,test
YJL138C,Cytoplasm,0,train
YGL256W,Mitochondria,2,test
YMR256C,Mitochondria,2,train
YLR163C,Mitochondria,2,train
YAL005C,Membrane_Secretory,1,train
YLL024C,Membrane_Secretory,1,train
YHR007C,Membrane_Secretory,1,train
YDL130W,Cytoplasm,0,train
YDR347W,Mitochondria,2,train
YBR031W,Nucleus,3,train
YER020W,Membrane_Secretory,1,train
YCR066W,Nucleus,3,train
YER011W,Membrane_Secretory,1,train
YDL194W,Membrane_Secretory,1,test
YGL073W,Nucleus,3,train
YAL025C,Nucleus,3,test
YOR341W,Nucleus,3,train
YDR170C,Membrane_Secretory,1,train
YDL192W,Membrane_Secretory,1,train
YGL062W,Cytoplasm,0,train
YLR382C,Mitochondria,2,test
YDR044W,Cytoplasm,0,test
YDL229W,Cytoplasm,0,train
YDR481C,Cytoplasm,0,train
YPR052C,Nucleus,3,train
YBR089C-A,Nucleus,3,train
YNR026C,Membrane_Secretory,1,train
YCL029C,Cytoplasm,0,test
YCL027W,Membrane_Secretory,1,train
YMR235C,Cytoplasm,0,test
YMR043W,Nucleus,3,train
YML098W,Nucleus,3,train
YHR024C,Mitochondria,2,train
YNL216W,Nucleus,3,train
YDR227W,Nucleus,3,train
YJL153C,Cytoplasm,0,train
YGL013C,Nucleus,3,train
YBR143C,Cytoplasm,0,train
YDR212W,Cytoplasm,0,test
YIL015W,Membrane_Secretory,1,train
YML075C,Membrane_Secretory,1,train
YLR450W,Membrane_Secretory,1,train
YGR084C,Mitochondria,2,train
YNL005C,Mitochondria,2,test
YKL126W,Membrane_Secretory,1,train
YOR346W,Nucleus,3,train
YNL071W,Mitochondria,2,train
YBR196C,Cytoplasm,0,train
YNL250W,Nucleus,3,test
YGR083C,Cytoplasm,0,train
YKL209C,Membrane_Secretory,1,train
YMR231W,Membrane_Secretory,1,train
YGL115W,Nucleus,3,train
YDL040C,Cytoplasm,0,test
YJL092W,Nucleus,3,test
YOR276W,Cytoplasm,0,test
YNL238W,Other,4,train
YDR122W,Membrane_Secretory,1,train
YLR096W,Membrane_Secretory,1,train
YGR202C,Membrane_Secretory,1,test
YNL102W,Nucleus,3,train
YER148W,Nucleus,3,train
YBL021C,Nucleus,3,train
YIL034C,Cytoplasm,0,train
YHR084W,Nucleus,3,train
YGL167C,Membrane_Secretory,1,test
YDR040C,Membrane_Secretory,1,train
YDR158W,Nucleus,3,train
YBR195C,Nucleus,3,train
YGR152C,Membrane_Secretory,1,train
YPR183W,Membrane_Secretory,1,test
YKL109W,Nucleus,3,train
YOR120W,Cytoplasm,0,train
YGL030W,Cytoplasm,0,train
YOR063W,Cytoplasm,0,train
YKL112W,Nucleus,3,train
YBR038W,Membrane_Secretory,1,train
YNL082W,Nucleus,3,train
YPL167C,Nucleus,3,train
YLR263W,Nucleus,3,train
YLR178C,Cytoplasm,0,train
YJL141C,Nucleus,3,train
YGR040W,Nucleus,3,train
YDR054C,Nucleus,3,train
YHR083W,Mitochondria,2,test
YFR036W,Nucleus,3,train
YER162C,Nucleus,3,train
YDR217C,Nucleus,3,test
YKR026C,Cytoplasm,0,train
YLR195C,Cytoplasm,0,train
YLL015W,Membrane_Secretory,1,train
YDR155C,Nucleus,3,train
YDR035W,Cytoplasm,0,train
YKL103C,Membrane_Secretory,1,train
YOR254C,Nucleus,3,test
YJL041W,Nucleus,3,test
YMR228W,Mitochondria,2,train
YBR112C,Nucleus,3,test
YMR186W,Mitochondria,2,test
YDR037W,Cytoplasm,0,train
YDR256C,Other,4,train
YPR181C,Membrane_Secretory,1,train
YGL166W,Nucleus,3,test
YIR022W,Membrane_Secretory,1,test
YDR194C,Mitochondria,2,train
YDL102W,Nucleus,3,train
YDR283C,Cytoplasm,0,train
YPL117C,Cytoplasm,0,train
YDR120C,Mitochondria,2,train
YLR060W,Cytoplasm,0,train
YFL022C,Cytoplasm,0,train
YDL014W,Nucleus,3,train
YKL024C,Nucleus,3,train
YGR282C,Membrane_Secretory,1,train
YOR027W,Cytoplasm,0,train
YOR330C,Mitochondria,2,train
YBR088C,Nucleus,3,train
YCR088W,Other,4,train
YKR086W,Nucleus,3,test
YBR127C,Membrane_Secretory,1,train
YIL021W,Nucleus,3,train
YER178W,Mitochondria,2,train
YGR193C,Mitochondria,2,train
YLR134W,Nucleus,3,train
YJL034W,Other,4,train
YLR249W,Cytoplasm,0,test
YHR166C,Nucleus,3,train
YCL050C,Nucleus,3,train
YHR042W,Mitochondria,2,test
YOR176W,Mitochondria,2,train
YCR084C,Nucleus,3,train
YLR105C,Nucleus,3,train
YBR110W,Membrane_Secretory,1,train
YDR137W,Membrane_Secretory,1,train
YGR240C,Mitochondria,2,train
YMR205C,Mitochondria,2,train
YBL016W,Nucleus,3,train
YER056C,Membrane_Secretory,1,test
YNL272C,Cytoplasm,0,train
YHL033C,Cytoplasm,0,train
YJR060W,Nucleus,3,train
YPR141C,Nucleus,3,train
YPL031C,Nucleus,3,test
YLR233C,Nucleus,3,train
YDL185W,Membrane_Secretory,1,train
YNL322C,Membrane_Secretory,1,train
YGR233C,Nucleus,3,train
YKL085W,Mitochondria,2,train
YNL079C,Cytoplasm,0,train
YNL138W,Other,4,train
YOR158W,Mitochondria,2,train
YDR138W,Nucleus,3,train
YGR019W,Cytoplasm,0,train
YDR513W,Mitochondria,2,test
YPR189W,Nucleus,3,train
YNL151C,Nucleus,3,train
YGR167W,Other,4,train
YNL130C,Mitochondria,2,test
YCL043C,Other,4,train
YBR085W,Mitochondria,2,train
YBL030C,Mitochondria,2,train
YAL010C,Mitochondria,2,test
YAL009W,Nucleus,3,train
YBR083W,Nucleus,3,train
YBR289W,Nucleus,3,train
YBR080C,Cytoplasm,0,train
YJR086W,Membrane_Secretory,1,train
YHL025W,Nucleus,3,train
YGL155W,Cytoplasm,0,train
YMR104C,Cytoplasm,0,test
YLR229C,Membrane_Secretory,1,train
YKR039W,Membrane_Secretory,1,train
YDL137W,Membrane_Secretory,1,test
YJR047C,Cytoplasm,0,train
YDR148C,Mitochondria,2,test
YLR071C,Nucleus,3,train
YLR304C,Mitochondria,2,train
YPL132W,Mitochondria,2,train
YOR326W,Cytoplasm,0,test
YPL133C,Nucleus,3,train
YPL036W,Membrane_Secretory,1,train
YJL085W,Cytoplasm,0,train
YOL051W,Nucleus,3,test
YBR055C,Nucleus,3,train
YDL030W,Nucleus,3,train
YGL077C,Membrane_Secretory,1,test
YML007W,Nucleus,3,train
YLR259C,Mitochondria,2,train
YFR049W,Mitochondria,2,train
YIL072W,Nucleus,3,train
YOL001W,Nucleus,3,train
YPR178W,Nucleus,3,train
YNL135C,Mitochondria,2,train
YNR011C,Nucleus,3,train
YMR243C,Membrane_Secretory,1,train
YOR140W,Nucleus,3,train
YPR088C,Membrane_Secretory,1,train
YJL140W,Nucleus,3,train
YBR154C,Nucleus,3,train
YPR187W,Nucleus,3,train
YOR224C,Nucleus,3,train
YGL078C,Nucleus,3,train
YJL033W,Nucleus,3,train
YOR046C,Nucleus,3,train
YJR007W,Cytoplasm,0,train
YKL021C,Nucleus,3,test
YLR133W,Cytoplasm,0,train
YDL047W,Cytoplasm,0,test
YPL218W,Membrane_Secretory,1,train
YOR098C,Nucleus,3,train
YLR396C,Membrane_Secretory,1,train
YJR004C,Membrane_Secretory,1,train
YIL125W,Mitochondria,2,train
YGL055W,Membrane_Secretory,1,test
YJR094C,Nucleus,3,train
YLR131C,Nucleus,3,test
YOR362C,Nucleus,3,test
YGL011C,Nucleus,3,train
YER168C,Nucleus,3,train
YBR237W,Nucleus,3,train
YJR050W,Nucleus,3,train
YJR051W,Mitochondria,2,train
YER070W,Cytoplasm,0,train
YBR049C,Nucleus,3,test
YPL215W,Mitochondria,2,test
YKR001C,Cytoplasm,0,train
YPL172C,Mitochondria,2,train
YJR021C,Nucleus,3,train
YIL066C,Cytoplasm,0,train
YKR101W,Nucleus,3,train
YDR337W,Mitochondria,2,train
YLL041C,Mitochondria,2,test
YPL094C,Membrane_Secretory,1,train
YIR031C,Other,4,test
YGL097W,Nucleus,3,train
YNL262W,Nucleus,3,test
YDL066W,Mitochondria,2,train
YHL020C,Nucleus,3,train
YDL090C,Cytoplasm,0,test
YOR290C,Nucleus,3,train
YDR530C,Nucleus,3,train
YOL126C,Cytoplasm,0,train
YGL206C,Other,4,test
YPR010C,Nucleus,3,train
YOR210W,Nucleus,3,train
YHR123W,Membrane_Secretory,1,train
YER012W,Nucleus,3,train
YMR307W,Membrane_Secretory,1,test
YGL173C,Cytoplasm,0,train
YOL116W,Nucleus,3,train
YGL071W,Nucleus,3,train
YER103W,Cytoplasm,0,train
YOR332W,Membrane_Secretory,1,train
YGR092W,Nucleus,3,train
YNL183C,Cytoplasm,0,train
YDR189W,Membrane_Secretory,1,train
YLR268W,Membrane_Secretory,1,train
YPL153C,Nucleus,3,train
YLR043C,Nucleus,3,test
YBR097W,Membrane_Secretory,1,train
YGL233W,Membrane_Secretory,1,train
YOR207C,Nucleus,3,test
YGR183C,Mitochondria,2,train
YAR007C,Nucleus,3,train
YKL210W,Nucleus,3,train
YPL008W,Nucleus,3,train
YLR240W,Membrane_Secretory,1,train
YOL004W,Nucleus,3,train
YJR017C,Nucleus,3,train
YOL058W,Cytoplasm,0,train
YGR209C,Nucleus,3,train
YIL004C,Membrane_Secretory,1,train
YGL156W,Membrane_Secretory,1,test
YKL114C,Nucleus,3,test
YHL022C,Nucleus,3,train
YLL021W,Other,4,train
YNL229C,Cytoplasm,0,train
YCR042C,Nucleus,3,train
YHR057C,Membrane_Secretory,1,train
YHR135C,Mitochondria,2,train
YNL154C,Membrane_Secretory,1,train
YPR161C,Nucleus,3,train
YEL034W,Cytoplasm,0,train
YDR243C,Nucleus,3,train
YNL240C,Nucleus,3,train
YLR027C,Membrane_Secretory,1,test
YMR011W,Membrane_Secretory,1,test
YGR116W,Nucleus,3,train
YGR135W,Nucleus,3,train
YML092C,Nucleus,3,test
YML115C,Membrane_Secretory,1,train
YDR495C,Cytoplasm,0,train
YMR203W,Mitochondria,2,test
YBL041W,Nucleus,3,train
YLR300W,Membrane_Secretory,1,train
YBR037C,Mitochondria,2,train
YLL043W,Membrane_Secretory,1,test
YHR026W,Membrane_Secretory,1,train
YKL197C,Membrane_Secretory,1,test
YEL032W,Nucleus,3,train
YMR079W,Membrane_Secretory,1,train
YKL149C,Nucleus,3,train
YER013W,Nucleus,3,test
YPR175W,Nucleus,3,train
YNL112W,Nucleus,3,train
YPL119C,Cytoplasm,0,train
YDR423C,Nucleus,3,train
YJR090C,Membrane_Secretory,1,train
YNL289W,Nucleus,3,train
YOL022C,Cytoplasm,0,train
YPR065W,Nucleus,3,test
YOR157C,Nucleus,3,train
YDL230W,Cytoplasm,0,train
YMR296C,Membrane_Secretory,1,train
YBL093C,Nucleus,3,train
YML008C,Mitochondria,2,test
YKR048C,Nucleus,3,test
YNL007C,Nucleus,3,test
YML123C,Membrane_Secretory,1,train
YMR061W,Nucleus,3,train
YGL044C,Nucleus,3,train
YCR038C,Cytoplasm,0,train
YDR004W,Nucleus,3,train
YMR214W,Other,4,train
YCR092C,Nucleus,3,train
YGL012W,Membrane_Secretory,1,train
YCR002C,Membrane_Secretory,1,train
YCR009C,Cytoplasm,0,train
YCR098C,Membrane_Secretory,1,train
YCR003W,Mitochondria,2,train
YCR004C,Mitochondria,2,train
YCR026C,Membrane_Secretory,1,train
YCR033W,Nucleus,3,train
YCR034W,Membrane_Secretory,1,test
YCR035C,Nucleus,3,train
YCR037C,Membrane_Secretory,1,train
YCR065W,Nucleus,3,train
YCL031C,Nucleus,3,train
YCL034W,Cytoplasm,0,train
YCR083W,Mitochondria,2,train
YCL035C,Nucleus,3,test
YCL017C,Nucleus,3,test
YCL057W,Cytoplasm,0,train
YCL025C,Membrane_Secretory,1,train
YCR027C,Membrane_Secretory,1,test
YCR072C,Nucleus,3,train
YCL019W,Nucleus,3,test
YLR078C,Membrane_Secretory,1,train
YDL058W,Membrane_Secretory,1,test
YCL024W,Cytoplasm,0,train
YDL150W,Nucleus,3,train
YGL123W,Nucleus,3,train
YER094C,Nucleus,3,train
YER179W,Nucleus,3,train
YER095W,Nucleus,3,train
YNL064C,Cytoplasm,0,train
YKL015W,Nucleus,3,train
YEL027W,Membrane_Secretory,1,train
YCL010C,Nucleus,3,train
YCL011C,Nucleus,3,train
YCL039W,Nucleus,3,train
YCL044C,Mitochondria,2,train
YCL045C,Membrane_Secretory,1,test
YCL047C,Nucleus,3,test
YCL054W,Nucleus,3,train
YCL055W,Nucleus,3,train
YCL059C,Nucleus,3,train
YCL005W,Membrane_Secretory,1,train
YCL061C,Nucleus,3,train
YCL063W,Membrane_Secretory,1,test
YCL008C,Membrane_Secretory,1,train
YCL009C,Mitochondria,2,train
YCR010C,Membrane_Secretory,1,train
YCR014C,Nucleus,3,train
YCR017C,Membrane_Secretory,1,train
YCR030C,Cytoplasm,0,test
YCR047C,Nucleus,3,train
YCR052W,Nucleus,3,train
YCR057C,Nucleus,3,train
YCR059C,Nucleus,3,train
YCR060W,Nucleus,3,train
YCR068W,Other,4,train
YCR071C,Mitochondria,2,train
YCR077C,Nucleus,3,train
YCR079W,Mitochondria,2,train
YCR081W,Nucleus,3,train
YCR086W,Nucleus,3,test
YCR089W,Membrane_Secretory,1,test
YCR093W,Nucleus,3,train
YCR094W,Other,4,train
YDL127W,Nucleus,3,train
YDL126C,Nucleus,3,train
YML078W,Mitochondria,2,train
YFL002C,Nucleus,3,test
YHR120W,Mitochondria,2,test
YOL090W,Nucleus,3,train
YDL200C,Nucleus,3,train
YGR087C,Cytoplasm,0,train
YGL116W,Nucleus,3,test
YPL131W,Nucleus,3,train
YER170W,Mitochondria,2,train
YDL170W,Nucleus,3,train
YMR055C,Other,4,train
YOR026W,Nucleus,3,test
YNL312W,Nucleus,3,train
YJL173C,Nucleus,3,test
YJR123W,Cytoplasm,0,train
YIL133C,Cytoplasm,0,test
YNL069C,Cytoplasm,0,test
YOR096W,Nucleus,3,train
YKL113C,Nucleus,3,train
YBR278W,Nucleus,3,train
YJR005W,Membrane_Secretory,1,test
YLR258W,Cytoplasm,0,test
YGR159C,Nucleus,3,train
YNR013C,Membrane_Secretory,1,train
YNR012W,Nucleus,3,train
YJL172W,Membrane_Secretory,1,train
YAR019C,Cytoplasm,0,train
YBR067C,Membrane_Secretory,1,train
YOL096C,Mitochondria,2,train
YML010W,Nucleus,3,train
YGL119W,Mitochondria,2,train
YGL035C,Nucleus,3,test
YIL160C,Mitochondria,2,test
YLR148W,Membrane_Secretory,1,train
YDR483W,Membrane_Secretory,1,train
YOR099W,Membrane_Secretory,1,train
YAL058W,Membrane_Secretory,1,train
YGR029W,Mitochondria,2,train
YEL061C,Mitochondria,2,train
YNL137C,Mitochondria,2,test
YGL070C,Nucleus,3,train
YNL113W,Nucleus,3,train
YAL032C,Nucleus,3,train
YAL033W,Nucleus,3,test
YHR089C,Nucleus,3,train
YER065C,Membrane_Secretory,1,test
YOR136W,Mitochondria,2,train
YEL012W,Cytoplasm,0,train
YKL216W,Cytoplasm,0,train
YKL215C,Cytoplasm,0,train
YKL096W,Membrane_Secretory,1,test
YKL095W,Nucleus,3,test
YKL094W,Mitochondria,2,train
YKL007W,Cytoplasm,0,test
YKL008C,Membrane_Secretory,1,train
YMR201C,Nucleus,3,test
YMR150C,Mitochondria,2,train
YKL116C,Cytoplasm,0,train
YGR028W,Mitochondria,2,train
YBL063W,Other,4,train
YPL155C,Cytoplasm,0,train
YDR498C,Membrane_Secretory,1,train
YDR329C,Membrane_Secretory,1,test
YDR036C,Mitochondria,2,train
YNL037C,Mitochondria,2,train
YLR286C,Membrane_Secretory,1,train
YPR086W,Nucleus,3,train
YGR246C,Nucleus,3,test
YPL204W,Nucleus,3,train
YGR133W,Membrane_Secretory,1,test
YBR200W,Cytoplasm,0,train
YLL045C,Cytoplasm,0,test
YOR208W,Nucleus,3,train
YBR023C,Membrane_Secretory,1,train
YKR002W,Nucleus,3,train
YBL023C,Nucleus,3,train
YLR274W,Nucleus,3,train
YDR353W,Mitochondria,2,test
YBR275C,Nucleus,3,train
YPL048W,Nucleus,3,train
YKL019W,Cytoplasm,0,train
YHR190W,Membrane_Secretory,1,train
YER003C,Cytoplasm,0,train
YDR497C,Membrane_Secretory,1,train
YMR137C,Nucleus,3,train
YOR317W,Membrane_Secretory,1,train
YPR103W,Nucleus,3,train
YFR050C,Nucleus,3,test
YPR019W,Nucleus,3,train
YMR080C,Cytoplasm,0,train
YGR218W,Nucleus,3,train
YKL016C,Mitochondria,2,train
YNL117W,Other,4,test
YAL030W,Other,4,test
YDR285W,Nucleus,3,train
YFL001W,Nucleus,3,train
YBR114W,Nucleus,3,train
YAL012W,Cytoplasm,0,train
YAL017W,Cytoplasm,0,train
YAL011W,Nucleus,3,train
YAL014C,Membrane_Secretory,1,train
YAL015C,Nucleus,3,train
YAL019W,Nucleus,3,train
YAL023C,Membrane_Secretory,1,train
YAL021C,Nucleus,3,train
YAL013W,Nucleus,3,train
YAL020C,Cytoplasm,0,train
YKL080W,Membrane_Secretory,1,test
YLL026W,Nucleus,3,train
YDR074W,Cytoplasm,0,train
YGL038C,Membrane_Secretory,1,test
YNL073W,Mitochondria,2,train
YNL287W,Membrane_Secretory,1,test
YPR060C,Cytoplasm,0,train
YOL064C,Nucleus,3,train
YNL236W,Nucleus,3,train
YOR211C,Mitochondria,2,train
YPR035W,Cytoplasm,0,train
YBL015W,Cytoplasm,0,train
YGR144W,Nucleus,3,train
YBL017C,Other,4,train
YNR044W,Membrane_Secretory,1,train
YDR385W,Cytoplasm,0,train
YBR218C,Cytoplasm,0,train
YLR120C,Membrane_Secretory,1,test
YKL120W,Mitochondria,2,test
YPL082C,Nucleus,3,train
YGR014W,Membrane_Secretory,1,train
YLR203C,Mitochondria,2,train
YOR373W,Other,4,train
YMR308C,Nucleus,3,train
YGR044C,Nucleus,3,train
YML120C,Mitochondria,2,test
YKL122C,Nucleus,3,train
YKL124W,Membrane_Secretory,1,test
YLR204W,Mitochondria,2,train
YDR075W,Nucleus,3,train
YDR047W,Nucleus,3,train
YPR190C,Nucleus,3,train
YMR202W,Membrane_Secretory,1,train
YLR056W,Membrane_Secretory,1,train
YIL150C,Nucleus,3,test
YDR001C,Cytoplasm,0,train
YBL074C,Nucleus,3,train
YHR079C,Membrane_Secretory,1,train
YPL175W,Membrane_Secretory,1,train
YKL079W,Cytoplasm,0,train
YLR447C,Membrane_Secretory,1,train
