gene_id,length,log_length,n_term_hydrophobic,n_term_positive,n_term_aliphatic
YGL008C,918,2.9628426812012423,0.28,0.06,0.22
YOR386W,565,2.7520484478194387,0.28,0.22,0.18
YJL088W,338,2.5289167002776547,0.36,0.18,0.24
YLR340W,312,2.494154594018443,0.36,0.22,0.28
YDL081C,106,2.0253058652647704,0.54,0.04,0.46
YOL039W,106,2.0253058652647704,0.48,0.1,0.44
YGR157W,869,2.9390197764486663,0.36,0.16,0.2
YJR073C,206,2.3138672203691533,0.48,0.14,0.32
YDR172W,685,2.8356905714924254,0.12,0.02,0.08
YGL076C,244,2.3873898263387296,0.44,0.24,0.4
YLR448W,176,2.24551266781415,0.5,0.22,0.34
YKL180W,184,2.2648178230095364,0.34,0.16,0.26
YPL143W,107,2.0293837776852097,0.38,0.22,0.3
YMR194W,100,2.0,0.42,0.22,0.32
YLR029C,204,2.3096301674258988,0.36,0.32,0.26
YNL178W,240,2.380211241711606,0.46,0.14,0.36
YBR189W,195,2.290034611362518,0.34,0.22,0.2
YDR064W,151,2.1789769472931693,0.42,0.16,0.28
YLR167W,152,2.1818435879447726,0.38,0.14,0.28
YDL165W,191,2.2810333672477277,0.4,0.14,0.28
YDR168W,506,2.7041505168397992,0.32,0.24,0.2
YIL038C,836,2.9222062774390163,0.26,0.24,0.18
YOR361C,763,2.8825245379548807,0.38,0.18,0.26
YGL058W,172,2.2355284469075487,0.52,0.14,0.24
YJL080C,1222,3.0870712059065353,0.36,0.06,0.24
YLR303W,444,2.6473829701146196,0.36,0.14,0.22
YGR088W,562,2.749736315569061,0.36,0.16,0.2
YLR355C,395,2.59659709562646,0.5,0.22,0.38
YLR044C,563,2.7505083948513462,0.44,0.1,0.3
YPR113W,220,2.342422680822206,0.5,0.12,0.3
YNL104C,619,2.791690649020118,0.5,0.22,0.34
YDL108W,306,2.48572142648158,0.3,0.2,0.22
YJL164C,397,2.598790506763115,0.08,0.12,0.06
YCR031C,137,2.1367205671564067,0.42,0.14,0.32
YOR204W,604,2.7810369386211318,0.24,0.1,0.16
YDL042C,562,2.749736315569061,0.32,0.22,0.2
YLR442C,978,2.9903388547876015,0.32,0.22,0.24
YOR257W,161,2.2068258760318495,0.36,0.12,0.22
YPR160W,902,2.9552065375419416,0.42,0.14,0.2
YGL237C,265,2.423245873936808,0.44,0.1,0.28
YPL022W,1100,3.041392685158225,0.2,0.08,0.14
YML032C,471,2.673020907128896,0.34,0.18,0.2
YPR165W,209,2.3201462861110542,0.44,0.1,0.32
YNL090W,192,2.2833012287035497,0.4,0.16,0.28
YDR477W,633,2.801403710017355,0.2,0.3,0.14
YOR074C,304,2.482873583608754,0.34,0.16,0.18
YNL088W,1428,3.1547282074401557,0.32,0.1,0.22
YBR109C,147,2.167317334748176,0.4,0.06,0.28
YML095C,210,2.322219294733919,0.3,0.12,0.22
YER171W,778,2.890979596989689,0.42,0.1,0.22
YER161C,333,2.5224442335063197,0.36,0.2,0.24
YDR392W,337,2.5276299008713385,0.42,0.12,0.28
YOR065W,309,2.4899584794248346,0.4,0.14,0.32
YDR226W,222,2.346352974450639,0.42,0.14,0.28
YNL121C,617,2.7902851640332416,0.3,0.18,0.26
YGL234W,802,2.9041743682841634,0.48,0.1,0.36
YGR204W,946,2.975891136401793,0.46,0.1,0.34
YMR083W,375,2.574031267727719,0.38,0.22,0.26
YDR216W,1323,3.121559844187501,0.38,0.04,0.2
YMR042W,177,2.247973266361807,0.26,0.08,0.1
YDR173C,355,2.550228353055094,0.42,0.14,0.3
YBL099W,545,2.7363965022766426,0.5,0.16,0.44
YDL067C,59,1.7708520116421442,0.5,0.16,0.28
YBL045C,457,2.6599162000698504,0.42,0.14,0.34
YPR191W,368,2.5658478186735176,0.44,0.2,0.38
YOR303W,411,2.6138418218760693,0.4,0.04,0.22
YJL130C,2214,3.345177616542704,0.48,0.06,0.32
YOL139C,213,2.3283796034387376,0.38,0.16,0.22
YPL075W,785,2.8948696567452528,0.4,0.06,0.32
YPR033C,546,2.7371926427047373,0.46,0.18,0.38
YPL154C,405,2.6074550232146687,0.54,0.2,0.44
YDL106C,559,2.747411807886423,0.24,0.1,0.08
YFR034C,312,2.494154594018443,0.28,0.16,0.18
YML061C,859,2.9339931638312424,0.46,0.2,0.22
YLR014C,904,2.9561684304753633,0.22,0.32,0.12
YGL043W,309,2.4899584794248346,0.44,0.2,0.38
YOR122C,126,2.100370545117563,0.42,0.06,0.32
YGR258C,1031,3.0132586652835167,0.5,0.14,0.34
YMR208W,443,2.6464037262230695,0.54,0.08,0.4
YIL033C,416,2.6190933306267428,0.44,0.12,0.28
YOL121C,144,2.1583624920952498,0.46,0.08,0.3
YNL302C,144,2.1583624920952498,0.46,0.08,0.32
YFL045C,254,2.404833716619938,0.44,0.16,0.32
YDR023W,462,2.6646419755561257,0.38,0.14,0.28
YBR243C,448,2.651278013998144,0.56,0.08,0.42
YMR108W,687,2.8369567370595505,0.42,0.18,0.26
YHR013C,238,2.376576957056512,0.48,0.1,0.28
YFL005W,215,2.3324384599156054,0.4,0.12,0.28
YPR110C,335,2.525044807036845,0.34,0.12,0.2
YFL009W,779,2.8915374576725643,0.44,0.1,0.3
YAL024C,1435,3.156851901070011,0.42,0.06,0.28
YOR274W,428,2.6314437690131722,0.42,0.12,0.32
YLR438W,424,2.6273658565927325,0.42,0.18,0.26
YNL192W,1131,3.053462604925455,0.14,0.18,0.08
YJL128C,668,2.824776462475546,0.24,0.14,0.2
YEL024W,215,2.3324384599156054,0.36,0.16,0.24
YDR146C,709,2.8506462351830666,0.28,0.06,0.18
YPL262W,488,2.6884198220027105,0.34,0.18,0.18
YPR047W,469,2.6711728427150834,0.36,0.18,0.24
YKL184W,466,2.66838591669,0.26,0.1,0.24
YER026C,276,2.4409090820652177,0.32,0.1,0.2
YDR523C,490,2.690196080028514,0.38,0.16,0.3
YJL208C,329,2.5171958979499744,0.4,0.1,0.28
YOR151C,1224,3.0877814178095426,0.38,0.06,0.24
YJL166W,94,1.9731278535996988,0.42,0.14,0.16
YJR010W,511,2.708420900134713,0.5,0.1,0.4
YHR005C,472,2.673941998634088,0.34,0.12,0.28
YDR127W,1588,3.2008504980910777,0.44,0.14,0.36
YLR451W,886,2.9474337218870508,0.22,0.24,0.12
YIR019C,1367,3.1357685145678222,0.5,0.04,0.32
YCR005C,460,2.6627578316815743,0.32,0.18,0.22
YOR260W,578,2.761927838420529,0.42,0.06,0.24
YPL237W,285,2.45484486000851,0.4,0.2,0.28
YJL194W,513,2.7101173651118162,0.46,0.2,0.22
YEL060C,635,2.8027737252919755,0.44,0.18,0.34
YBL075C,649,2.812244696800369,0.36,0.1,0.28
YBR084W,975,2.989004615698537,0.4,0.24,0.32
YPL016W,1314,3.118595365223762,0.12,0.02,0.04
YGL203C,729,2.8627275283179747,0.52,0.06,0.32
YFL018C,499,2.6981005456233897,0.48,0.16,0.4
YML085C,447,2.6503075231319366,0.34,0.12,0.24
YML124C,445,2.6483600109809315,0.32,0.12,0.24
YKL022C,840,2.9242792860618816,0.3,0.2,0.18
YJL026W,399,2.6009728956867484,0.34,0.22,0.26
YDR232W,548,2.738780558484369,0.46,0.1,0.38
YLR182W,803,2.904715545278681,0.4,0.14,0.28
YLR333C,108,2.03342375548695,0.4,0.3,0.3
YKR057W,87,1.9395192526186185,0.38,0.16,0.32
YPR102C,174,2.2405492482826,0.4,0.16,0.32
YLR264W,67,1.8260748027008264,0.38,0.2,0.3
YDR316W-B,1755,3.244277120801843,0.3,0.14,0.24
YDR365W-B,1755,3.244277120801843,0.28,0.14,0.22
YLR157C-B,1755,3.244277120801843,0.28,0.14,0.22
YLR227W-B,1755,3.244277120801843,0.26,0.16,0.22
YPR137C-B,1755,3.244277120801843,0.28,0.14,0.22
YPR158W-B,1756,3.244524511570084,0.3,0.14,0.24
YPR158C-D,1755,3.244277120801843,0.28,0.12,0.22
YLR410W-B,1770,3.247973266361807,0.36,0.12,0.24
YHL009W-B,1802,3.255754786643044,0.32,0.2,0.26
YPR170W-B,85,1.9294189257142929,0.5,0.08,0.34
YPR192W,305,2.484299839346786,0.28,0.22,0.14
YLR256W,1502,3.17666993266815,0.34,0.06,0.14
YLL039C,381,2.5809249756756194,0.38,0.14,0.28
YIL148W,128,2.1072099696478683,0.38,0.14,0.28
YKR094C,128,2.1072099696478683,0.38,0.14,0.28
YJR045C,654,2.815577748324267,0.42,0.12,0.36
YNL015W,75,1.8750612633917,0.44,0.2,0.32
YPR043W,92,1.9637878273455553,0.24,0.32,0.2
YNL162W,106,2.0253058652647704,0.22,0.34,0.14
YHR141C,106,2.0253058652647704,0.22,0.34,0.14
YGR118W,145,2.161368002234975,0.3,0.32,0.18
YPR132W,145,2.161368002234975,0.3,0.32,0.18
YER074W,135,2.130333768495006,0.46,0.22,0.38
YIL069C,135,2.130333768495006,0.46,0.22,0.38
YJR145C,261,2.416640507338281,0.5,0.28,0.32
YHR203C,261,2.416640507338281,0.5,0.28,0.32
YPL090C,236,2.3729120029701067,0.36,0.16,0.22
YBR181C,236,2.3729120029701067,0.36,0.16,0.22
YBL087C,137,2.1367205671564067,0.42,0.12,0.32
YER117W,137,2.1367205671564067,0.42,0.12,0.32
YPL220W,217,2.3364597338485296,0.28,0.24,0.2
YGL135W,217,2.3364597338485296,0.28,0.24,0.2
YFR031C-A,254,2.404833716619938,0.34,0.28,0.3
YIL018W,254,2.404833716619938,0.34,0.28,0.3
YDR025W,156,2.1931245983544616,0.34,0.24,0.18
YBR048W,156,2.1931245983544616,0.34,0.24,0.18
YOL120C,186,2.2695129442179165,0.38,0.28,0.28
YNL301C,186,2.2695129442179165,0.38,0.28,0.28
YMR143W,143,2.155336037465062,0.48,0.18,0.36
YEL054C,165,2.2174839442139063,0.52,0.14,0.36
YDR418W,165,2.2174839442139063,0.52,0.14,0.36
YDR450W,146,2.164352855784437,0.4,0.16,0.36
YML026C,146,2.164352855784437,0.4,0.16,0.36
YFL002W-A,1770,3.247973266361807,0.36,0.12,0.24
YGR161W-B,1770,3.247973266361807,0.36,0.12,0.24
YLR157C,362,2.558708570533166,0.44,0.12,0.32
YLR158C,362,2.558708570533166,0.44,0.12,0.32
YLR160C,362,2.558708570533166,0.44,0.12,0.32
YBR084C-A,189,2.2764618041732443,0.42,0.2,0.36
YBL027W,189,2.2764618041732443,0.42,0.2,0.36
YDL191W,120,2.0791812460476247,0.4,0.26,0.34
YDL136W,120,2.0791812460476247,0.4,0.26,0.34
YCR040W,175,2.2430380486862944,0.38,0.32,0.24
YCR039C,210,2.322219294733919,0.42,0.12,0.28
YLR155C,362,2.558708570533166,0.44,0.12,0.32
YHL034C,294,2.4683473304121573,0.38,0.08,0.28
YJL138C,395,2.59659709562646,0.34,0.06,0.22
YGL256W,382,2.582063362911709,0.46,0.08,0.32
YMR256C,60,1.7781512503836436,0.6,0.12,0.38
YLR163C,462,2.6646419755561257,0.36,0.14,0.24
YAL005C,642,2.807535028068853,0.4,0.1,0.3
YLL024C,639,2.8055008581584002,0.36,0.1,0.26
YHR007C,530,2.724275869600789,0.6,0.06,0.48
YDL130W,106,2.0253058652647704,0.54,0.04,0.46
YDR347W,321,2.5065050324048723,0.44,0.22,0.32
YBR031W,362,2.558708570533166,0.5,0.14,0.34
YER020W,449,2.6522463410033232,0.3,0.12,0.2
YCR066W,487,2.6875289612146345,0.4,0.12,0.26
YER011W,254,2.404833716619938,0.48,0.06,0.44
YDL194W,884,2.946452265013073,0.24,0.18,0.18
YGL073W,833,2.9206450014067875,0.36,0.06,0.24
YAL025C,306,2.48572142648158,0.32,0.12,0.2
YOR341W,1664,3.2211533219547053,0.42,0.1,0.32
YDR170C,2009,3.3029799367482493,0.28,0.1,0.22
YDL192W,181,2.2576785748691846,0.48,0.12,0.34
YGL062W,1178,3.0711452904510828,0.44,0.18,0.32
YLR382C,894,2.951337518795918,0.34,0.24,0.2
YDR044W,328,2.515873843711679,0.4,0.16,0.24
YDL229W,613,2.787460474518415,0.42,0.02,0.3
YDR481C,566,2.7528164311882715,0.42,0.2,0.32
YPR052C,93,1.9684829485539352,0.38,0.24,0.18
YBR089C-A,99,1.99563519459755,0.36,0.28,0.18
YNR026C,471,2.673020907128896,0.42,0.08,0.3
YCL029C,440,2.6434526764861874,0.4,0.14,0.28
YCL027W,512,2.709269960975831,0.4,0.02,0.34
YMR235C,407,2.60959440922522,0.4,0.14,0.32
YMR043W,286,2.456366033129043,0.28,0.3,0.16
YML098W,167,2.2227164711475833,0.4,0.1,0.32
YHR024C,482,2.6830470382388496,0.4,0.12,0.32
YNL216W,827,2.9175055095525466,0.46,0.02,0.32
YDR227W,1358,3.132899769944483,0.36,0.22,0.12
YJL153C,533,2.7267272090265724,0.34,0.12,0.26
YGL013C,1068,3.0285712526925375,0.26,0.2,0.14
YBR143C,437,2.640481436970422,0.44,0.16,0.3
YDR212W,559,2.747411807886423,0.42,0.08,0.32
YIL015W,587,2.7686381012476144,0.46,0.08,0.38
YML075C,1054,3.022840610876528,0.6,0.14,0.38
YLR450W,1045,3.019116290447073,0.6,0.12,0.48
YGR084C,339,2.530199698203082,0.46,0.2,0.34
YNL005C,371,2.569373909615046,0.4,0.2,0.24
YKL126W,680,2.832508912706236,0.22,0.26,0.1
YOR346W,985,2.9934362304976116,0.28,0.12,0.24
YNL071W,482,2.6830470382388496,0.46,0.14,0.3
YBR196C,554,2.74350976472843,0.34,0.2,0.2
YNL250W,1312,3.1179338350396417,0.38,0.12,0.28
YGR083C,651,2.813580988568192,0.32,0.24,0.24
YKL209C,1290,3.110589710299249,0.48,0.16,0.34
YMR231W,1029,3.012415374762433,0.5,0.04,0.32
YGL115W,322,2.507855871695831,0.42,0.12,0.34
YDL040C,854,2.931457870689005,0.38,0.3,0.3
YJL092W,1174,3.0696680969115957,0.42,0.12,0.34
YOR276W,161,2.2068258760318495,0.44,0.18,0.32
YNL238W,814,2.910624404889201,0.4,0.14,0.26
YDR122W,1064,3.0269416279590295,0.3,0.1,0.1
YLR096W,1147,3.0595634179012676,0.44,0.1,0.2
YGR202C,424,2.6273658565927325,0.18,0.22,0.12
YNL102W,1468,3.166726055580052,0.2,0.24,0.18
YER148W,240,2.380211241711606,0.34,0.18,0.2
YBL021C,144,2.1583624920952498,0.28,0.08,0.2
YIL034C,287,2.4578818967339924,0.48,0.04,0.38
YHR084W,688,2.837588438235511,0.4,0.12,0.32
YGL167C,950,2.9777236052888476,0.4,0.08,0.3
YDR040C,1091,3.037824750588342,0.32,0.1,0.24
YDR158W,365,2.5622928644564746,0.48,0.18,0.4
YBR195C,422,2.625312450961674,0.3,0.16,0.2
YGR152C,272,2.4345689040341987,0.36,0.12,0.3
YPR183W,267,2.4265112613645754,0.44,0.12,0.28
YKL109W,554,2.74350976472843,0.42,0.16,0.24
YOR120W,312,2.494154594018443,0.4,0.14,0.32
YGL030W,105,2.0211892990699383,0.42,0.18,0.36
YOR063W,387,2.5877109650189114,0.42,0.32,0.26
YKL112W,731,2.8639173769578603,0.4,0.16,0.26
YBR038W,963,2.9836262871245345,0.32,0.1,0.14
YNL082W,873,2.94101424370557,0.4,0.1,0.36
YPL167C,1504,3.1772478362556233,0.28,0.12,0.14
YLR263W,827,2.9175055095525466,0.38,0.2,0.3
YLR178C,219,2.3404441148401185,0.44,0.08,0.32
YJL141C,807,2.90687353472207,0.26,0.08,0.12
YGR040W,368,2.5658478186735176,0.44,0.18,0.32
YDR054C,295,2.469822015978163,0.42,0.14,0.28
YHR083W,329,2.5171958979499744,0.42,0.12,0.24
YFR036W,124,2.093421685162235,0.3,0.18,0.24
YER162C,754,2.8773713458697743,0.36,0.32,0.22
YDR217C,1309,3.116939646550756,0.42,0.1,0.26
YKR026C,305,2.484299839346786,0.5,0.08,0.34
YLR195C,455,2.6580113966571126,0.32,0.24,0.18
YLL015W,1559,3.192846115188842,0.5,0.02,0.3
YDR155C,162,2.2095150145426308,0.42,0.1,0.26
YDR035W,370,2.568201724066995,0.4,0.22,0.24
YKL103C,514,2.710963118995276,0.28,0.16,0.2
YOR254C,663,2.821513528404773,0.46,0.02,0.26
YJL041W,823,2.91539983521227,0.28,0.02,0.08
YMR228W,341,2.5327543789924976,0.44,0.2,0.24
YBR112C,966,2.9849771264154934,0.34,0.0,0.18
YMR186W,705,2.848189116991399,0.46,0.08,0.36
YDR037W,591,2.7715874808812555,0.38,0.24,0.34
YDR256C,515,2.711807229041191,0.32,0.12,0.22
YPR181C,768,2.885361220031512,0.42,0.06,0.24
YGL166W,225,2.3521825181113627,0.3,0.24,0.22
YIR022W,167,2.2227164711475833,0.6,0.04,0.38
YDR194C,664,2.8221680793680175,0.4,0.18,0.32
YDL102W,1097,3.0402066275747113,0.36,0.16,0.24
YDR283C,1659,3.219846386024361,0.36,0.12,0.24
YPL117C,288,2.459392487759231,0.38,0.08,0.22
YDR120C,570,2.7558748556724915,0.5,0.2,0.34
YLR060W,595,2.7745169657285498,0.34,0.06,0.16
YFL022C,503,2.7015679850559273,0.4,0.16,0.3
YDL014W,327,2.514547752660286,0.14,0.22,0.04
YKL024C,204,2.3096301674258988,0.44,0.08,0.3
YGR282C,313,2.4955443375464483,0.4,0.06,0.3
YOR027W,589,2.7701152947871015,0.36,0.12,0.28
YOR330C,1254,3.0982975364946976,0.46,0.22,0.26
YBR088C,258,2.41161970596323,0.48,0.12,0.38
YCR088W,592,2.77232170672292,0.36,0.12,0.24
YKR086W,1071,3.029789470831856,0.38,0.18,0.28
YBR127C,517,2.7134905430939424,0.46,0.16,0.32
YIL021W,318,2.5024271199844326,0.5,0.1,0.38
YER178W,420,2.6232492903979003,0.42,0.2,0.3
YGR193C,410,2.6127838567197355,0.44,0.16,0.3
YLR134W,563,2.7505083948513462,0.42,0.1,0.28
YJL034W,682,2.833784374656479,0.56,0.08,0.42
YLR249W,1044,3.0187004986662433,0.42,0.12,0.32
YHR166C,626,2.7965743332104296,0.44,0.16,0.38
YCL050C,321,2.5065050324048723,0.4,0.14,0.22
YHR042W,691,2.8394780473741985,0.48,0.08,0.38
YOR176W,393,2.5943925503754266,0.38,0.14,0.2
YCR084C,713,2.8530895298518657,0.34,0.1,0.26
YLR105C,377,2.576341350205793,0.42,0.18,0.26
YBR110W,449,2.6522463410033232,0.62,0.1,0.46
YDR137W,663,2.821513528404773,0.38,0.22,0.26
YGR240C,987,2.9943171526696366,0.34,0.18,0.2
YMR205C,959,2.9818186071706636,0.36,0.06,0.24
YBL016W,353,2.5477747053878224,0.44,0.16,0.3
YER056C,533,2.7267272090265724,0.32,0.08,0.26
YNL272C,759,2.8802417758954806,0.36,0.14,0.34
YHL033C,256,2.4082399653118496,0.4,0.22,0.22
YJR060W,351,2.5453071164658243,0.18,0.18,0.16
YPR141C,729,2.8627275283179747,0.34,0.24,0.14
YPL031C,305,2.484299839346786,0.3,0.12,0.24
YLR233C,699,2.8444771757456815,0.34,0.22,0.22
YDL185W,1071,3.029789470831856,0.46,0.1,0.38
YNL322C,313,2.4955443375464483,0.58,0.06,0.46
YGR233C,1178,3.0711452904510828,0.44,0.2,0.36
YKL085W,334,2.5237464668115646,0.46,0.16,0.38
YNL079C,199,2.298853076409707,0.26,0.22,0.22
YNL138W,526,2.7209857441537393,0.34,0.16,0.26
YOR158W,318,2.5024271199844326,0.38,0.2,0.24
YDR138W,752,2.876217840591642,0.48,0.1,0.26
YGR019W,471,2.673020907128896,0.36,0.1,0.18
YDR513W,143,2.155336037465062,0.52,0.12,0.38
YPR189W,1432,3.1559430179718366,0.38,0.16,0.3
YNL151C,251,2.399673721481038,0.34,0.1,0.16
YGR167W,233,2.367355921026019,0.32,0.12,0.16
YNL130C,393,2.5943925503754266,0.52,0.14,0.24
YCL043C,522,2.717670503002262,0.5,0.06,0.38
YBR085W,307,2.4871383754771865,0.46,0.1,0.34
YBL030C,318,2.5024271199844326,0.58,0.12,0.38
YAL010C,493,2.69284691927723,0.4,0.12,0.26
YAL009W,259,2.413299764081252,0.32,0.14,0.22
YBR083W,486,2.6866362692622934,0.34,0.1,0.22
YBR289W,905,2.9566485792052033,0.4,0.0,0.2
YBR080C,758,2.8796692056320534,0.46,0.14,0.26
YJR086W,110,2.041392685158225,0.28,0.22,0.22
YHL025W,332,2.5211380837040362,0.3,0.16,0.22
YGL155W,376,2.575187844927661,0.38,0.22,0.24
YMR104C,677,2.8305886686851442,0.2,0.3,0.06
YLR229C,191,2.2810333672477277,0.46,0.04,0.32
YKR039W,602,2.7795964912578244,0.28,0.06,0.18
YDL137W,181,2.2576785748691846,0.46,0.12,0.34
YJR047C,157,2.1958996524092336,0.36,0.14,0.22
YDR148C,463,2.6655809910179533,0.46,0.22,0.38
YLR071C,1082,3.0342272607705505,0.3,0.12,0.18
YLR304C,778,2.890979596989689,0.4,0.16,0.34
YPL132W,300,2.4771212547196626,0.52,0.18,0.4
YOR326W,1574,3.1970047280230456,0.36,0.14,0.24
YPL133C,446,2.649334858712142,0.32,0.28,0.24
YPL036W,947,2.9763499790032735,0.26,0.1,0.2
YJL085W,623,2.7944880466591697,0.44,0.1,0.34
YOL051W,1081,3.0338256939533106,0.4,0.14,0.34
YBR055C,899,2.9537596917332287,0.32,0.2,0.16
YDL030W,530,2.724275869600789,0.4,0.16,0.28
YGL077C,563,2.7505083948513462,0.34,0.14,0.22
YML007W,650,2.8129133566428557,0.24,0.2,0.16
YLR259C,572,2.7573960287930244,0.46,0.22,0.4
YFR049W,123,2.089905111439398,0.5,0.18,0.32
YIL072W,605,2.781755374652469,0.42,0.12,0.24
YOL001W,293,2.4668676203541096,0.44,0.12,0.34
YPR178W,465,2.667452952889954,0.42,0.14,0.34
YNL135C,114,2.0569048513364727,0.32,0.12,0.22
YNR011C,876,2.9425041061680806,0.24,0.2,0.2
YMR243C,442,2.645422269349092,0.56,0.08,0.44
YOR140W,766,2.884228769632604,0.42,0.06,0.32
YPR088C,541,2.7331972651065692,0.5,0.06,0.44
YJL140W,221,2.3443922736851106,0.32,0.16,0.26
YBR154C,215,2.3324384599156054,0.36,0.18,0.2
YPR187W,155,2.1903316981702914,0.24,0.08,0.1
YOR224C,146,2.164352855784437,0.42,0.08,0.3
YGL078C,523,2.718501688867274,0.14,0.58,0.12
YJL033W,770,2.886490725172482,0.3,0.26,0.2
YOR046C,482,2.6830470382388496,0.32,0.18,0.24
YJR007W,304,2.482873583608754,0.42,0.08,0.3
YKL021C,414,2.617000341120899,0.46,0.14,0.28
YLR133W,582,2.7649229846498886,0.24,0.22,0.2
YDL047W,311,2.4927603890268375,0.42,0.1,0.26
YPL218W,190,2.278753600952829,0.5,0.16,0.34
YOR098C,1076,3.0318122713303706,0.3,0.2,0.12
YLR396C,691,2.8394780473741985,0.46,0.06,0.32
YJR004C,650,2.8129133566428557,0.56,0.04,0.36
YIL125W,1014,3.0060379549973173,0.34,0.14,0.28
YGL055W,510,2.7075701760979363,0.42,0.08,0.32
YJR094C,360,2.5563025007672873,0.38,0.08,0.16
YLR131C,770,2.886490725172482,0.36,0.06,0.18
YOR362C,288,2.459392487759231,0.38,0.06,0.28
